plant,gt_code,sku,qty,age_p50_h,age_max_h,as_of
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,1034,6.5,53.3,2026-02-01 07:00:00
PCR,GT 1583 NEO TATA,1325215813079TUNE5,567,11.5,54.6,2026-02-01 07:00:00
PCR,GT 2267 ROYL HYU,1325221417096HURL0,398,5.1,51.0,2026-02-01 07:00:00
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,320,3.4,55.1,2026-02-01 07:00:00
PCR,GT 2568 HT2,1325225518111HRHB0,302,6.1,55.3,2026-02-01 07:00:00
PCR,GT1513 NEO,1325215513073TUNE0,237,1.9,46.4,2026-02-01 07:00:00
PCR,GT 1995 ROYL KIA,1325219515091HURL2,223,7.6,54.6,2026-02-01 07:00:00
PCR,GT2277 RAN HT,1325222517102HRHT0,220,5.0,8.0,2026-02-01 07:00:00
PCR,GT 1894 MAX,1325218614088TTMX0,212,2.2,43.7,2026-02-01 07:00:00
PCR,GT 1925 XPC1,1225219Z15008SXC11,199,9.0,43.7,2026-02-01 07:00:00
PCR,GT 1482 UHL,1325214812074TUHL0,196,17.7,44.0,2026-02-01 07:00:00
PCR,GT 1634 XPC TATA,1D25216814008QXPC0,176,7.7,35.5,2026-02-01 07:00:00
PCR,GT1564 NEO,1325215514075TUNE0,153,36.1,44.7,2026-02-01 07:00:00
PCR,GT1915 LT XPC1,1225219Z15008SXC10,140,4.7,54.2,2026-02-01 07:00:00
PCR,GT 1672 SPT,1325216612077TUSP0,132,11.3,49.5,2026-02-01 07:00:00
PCR,GT 1765 ROYL,1325217515084HURL2,125,1.1,44.6,2026-02-01 07:00:00
PCR,GT 2576 EZO TATA,1325223616109SELZ0,112,1.4,3.4,2026-02-01 07:00:00
PCR,GT 2526 ROYL PG,1325221416095VURP0,83,17.2,47.9,2026-02-01 07:00:00
PCR,GT 2076 RAN HT,1325220416092HRHT0,82,6.4,52.5,2026-02-01 07:00:00
PCR,GT 1412 XPC MM,1D25114012008QXPC0,79,0.6,52.1,2026-02-01 07:00:00
PCR,GT  T1457 STAR,"",69,0.8,36.9,2026-02-01 07:00:00
PCR,GT 2158 ROYL HYU,1325221318095HURL0,60,11.4,47.4,2026-02-01 07:00:00
PCR,GT 2057 UX1,1325221217095VUX10,45,23.3,24.4,2026-02-01 07:00:00
PCR,GT 1856 ROYL,1325218316083HURL0,32,23.3,24.8,2026-02-01 07:00:00
PCR,GT 1543 XPC1,1D25215013008SXC1T,7,36.8,37.5,2026-02-01 07:00:00
PCR,GT 1966 RAN HPE,1325219416089VRHE0,3,39.6,41.2,2026-02-01 07:00:00
PCR,GT 1844 XPC TML,1D25218014010RXPCT,2,14.3,15.8,2026-02-01 07:00:00
PCR,GT 2047 ROYL HYU,1325221317094VURL1,1,55.8,55.8,2026-02-01 07:00:00
TBR,8.25R20JUH5,"",79,4.8,11.7,2026-02-01 07:00:00
TBR,10.00 R 20 JUH3+,"",75,3.0,55.5,2026-02-01 07:00:00
TBR,10.00 R 20 JUH5,"",72,2.9,45.5,2026-02-01 07:00:00
TBR,GT 5078 - 295/80R22.5 JUX E,"",69,5.8,44.6,2026-02-01 07:00:00
TBR,10.00R 20 JW302,"",62,10.3,14.3,2026-02-01 07:00:00
TBR,GT 5083 - 295/80R22.5 JUM XM,"",60,1.8,52.7,2026-02-01 07:00:00
TBR,GT 5075 - 295/90R20 JUH XF,"",60,7.6,20.3,2026-02-01 07:00:00
TBR,GT 5095 - 11.00R20 JUC3,"",58,15.2,43.9,2026-02-01 07:00:00
TBR,275/70R22.5JTH1,"",57,3.5,5.2,2026-02-01 07:00:00
TBR,10.00R20CDU,"",55,1.6,3.2,2026-02-01 07:00:00
TBR,11R22.5JUC,"",53,8.0,10.1,2026-02-01 07:00:00
TBR,385/55R22.5JTL,"",47,13.2,15.6,2026-02-01 07:00:00
TBR,GT 5096 - 11.00R20 JDC XD,"",46,1.6,44.7,2026-02-01 07:00:00
TBR,11.00R20JDE++,"",45,1.4,54.3,2026-02-01 07:00:00
TBR,8.25R20JDE++,"",37,1.2,51.5,2026-02-01 07:00:00
TBR,315/80R22.5JUL4,"",34,26.0,28.8,2026-02-01 07:00:00
TBR,295/90R20 JDE++ (RS),"",31,1.1,48.1,2026-02-01 07:00:00
TBR,10.00 R 20 JDE,"",26,9.1,42.0,2026-02-01 07:00:00
TBR,315/80R22.5JDL3,"",23,20.5,21.6,2026-02-01 07:00:00
TBR,11.00R20 JUH5,"",22,8.2,18.5,2026-02-01 07:00:00
TBR,315/80R22.5JUC4,"",17,31.6,32.6,2026-02-01 07:00:00
TBR,9.00 R 20 JDE++,"",11,27.3,28.6,2026-02-01 07:00:00
TBR,GT 5076 - 295/90R20 JDE XF,"",6,16.3,41.0,2026-02-01 07:00:00
TBR,GT 5103 - 295/80R22.5 JUM XM OEM,"",6,16.4,39.6,2026-02-01 07:00:00
TBR,9.00 R 20 JUH3,"",2,51.5,52.8,2026-02-01 07:00:00
TBR,315/70R22.5JDL3,"",2,34.9,36.0,2026-02-01 07:00:00
TBR,295/75R22.5JTHSD,"",1,27.2,27.2,2026-02-01 07:00:00
