month,plant,as_of,gts,qty,age_p50_h,age_p95_h,over_72h
2026-01,PCR,2026-01-01 07:00:00,26,4635,6.4,33.5,0
2026-01,TBR,2026-01-01 07:00:00,27,1033,6.5,30.7,0
2026-02,PCR,2026-02-01 07:00:00,28,5209,6.5,38.0,0
2026-02,TBR,2026-02-01 07:00:00,27,1056,5.2,34.9,0
2026-03,PCR,2026-03-01 07:00:00,24,4444,5.4,34.4,0
2026-03,TBR,2026-03-01 07:00:00,34,1339,7.4,34.3,0
2026-04,PCR,2026-04-01 07:00:00,26,4698,6.1,34.7,0
2026-04,TBR,2026-04-01 07:00:00,30,1219,7.2,44.6,0
2026-05,PCR,2026-05-01 07:00:00,27,4441,7.0,37.5,0
2026-05,TBR,2026-05-01 07:00:00,29,1175,5.9,33.7,0
2026-06,PCR,2026-06-01 07:00:00,26,4913,7.0,40.6,0
2026-06,TBR,2026-06-01 07:00:00,28,1374,7.2,31.9,0
2026-07,PCR,2026-07-01 07:00:00,25,4820,6.3,38.0,0
2026-07,TBR,2026-07-01 07:00:00,27,1297,8.3,45.3,0
