sku,plant
1325231015109QRMT0,PCR
1D25218014010RXPCT,PCR
1225119Z15008SXC10,PCR
1325219416089VRHE0,PCR
1325221516098HRHT0,PCR
1325221416095VURP0,PCR
1325217613082TUNE0,PCR
1325221715100SRAT1,PCR
1325221416095VRHE0,PCR
1325221417096HURP0,PCR
1D25215013008SXC10,PCR
1D25216814008QXPC0,PCR
1325222316099YLEVY,PCR
1325214813075SUHL0,PCR
1325221317094VRHE3,PCR
1325216514079TUTR0,PCR
1325215513073TUNE0,PCR
1325225418108HRHT0,PCR
1D25116814008QXPC0,PCR
1325223517104TRXT0,PCR
1325226418110HRHP0,PCR
1D25214012008QXPCT,PCR
1325220516095HURP0,PCR
1325219415092VUX10,PCR
1325220416092HRHT0,PCR
1325218514086HUTR0,PCR
1325224118100WLEV0,PCR
1225219Z15008SXC11,PCR
1325222217098YLEVY,PCR
1225219Z15008SXC10,PCR
1D25118014010RXPC0,PCR
1325223616105TRAT0,PCR
1325216612077TUSP0,PCR
1325222117094YLEV0,PCR
1325218614088TTMX0,PCR
1325215813079TUNE3,PCR
1325223317103YLEV0,PCR
1D25218Z14008QXPC0,PCR
1D25214012008QXPCM,PCR
1325214812074TUHL0,PCR
1325225518111HRAT0,PCR
1325223616109SELZ0,PCR
1D25114012008QXPC0,PCR
1325221715100SRAT0,PCR
1325225518111HRHB0,PCR
1325219515091HURL2,PCR
1325221715100SRPG0,PCR
1325218316083HURL0,PCR
1325225518111HRAT1,PCR
1325222317101YLEVY,PCR
1325217515084HURL2,PCR
1325221417096HURL0,PCR
1325214617107MSXT0,PCR
1325224716111SELS0,PCR
1325215514075TUNE0,PCR
1325221318095HURL0,PCR
1325219515091HURL3,PCR
1325222318098HRHE0,PCR
1325215813079TUNE5,PCR
1325223516103TURL0,PCR
1325221317094VURL0,PCR
1325226517112HRHT1,PCR
1325223616105TRAT1,PCR
1225215Z12008RXC10,PCR
1225270016012NSTL0,PCR
1325215613075TUNE1,PCR
1325216613079HUNE0,PCR
1325217612080HUNE0,PCR
1325217613082TUNEE,PCR
1325218515088TVEUE,PCR
1325218613086HUNE0,PCR
1325219315089VUX1E,PCR
1325220415095VUX10,PCR
1325220615106SRAT0,PCR
1325221217095VUX10,PCR
1325221317098VUX10,PCR
1325221516098HURL0,PCR
1325221Z15113RRAT0,PCR
1325222418104HUX10,PCR
1325222517102HRHT0,PCR
1325223916120NRMT0,PCR
1325226517112HRXT0,PCR
1325226616111TBHT0,PCR
1325226616111TRHT0,PCR
1325226617115TRHT0,PCR
1325226716123KRMT0,PCR
1325227616114TRHT0,PCR
1325231015109RBXT0,PCR
1D25218Z14008RXC10,PCR
1D25219Z14008SXC10,PCR
115222562C016MTH10,TBR
1122111020016KJH30,TBR
1121182020016KDEP0,TBR
112222982C152MJXM0,TBR
1121110020016KDEP0,TBR
1122129A20000JUH50,TBR
112222982C152MUXE0,TBR
1122190020016KUH50,TBR
1122110020016KUH50,TBR
1123129A20152JUCM0,TBR
1122182020016KUH50,TBR
112222982C016JUXE0,TBR
112222562C016MUXE0,TBR
1123111020016KJC30,TBR
1121190020016KDEP0,TBR
112122982C016MJDL0,TBR
112222982C016MJUM0,TBR
1122129A20152JULF0,TBR
1121129A20000JDEP0,TBR
1122190020014KJH30,TBR
1121127A20149KDEF0,TBR
1122127A20149KUHF0,TBR
112222982C016MJXM0,TBR
1121111020016KCXD0,TBR
1122111020016KUH50,TBR
1121129A20152JCXD0,TBR
1121129A20152JDLF0,TBR
115121102C016LJDH0,TBR
1121129A20152JLM20,TBR
1123129A20000JJC30,TBR
1121111020016KJDH0,TBR
1122182020016KH3P0,TBR
1123110020016KJUC0,TBR
115122982C018KCXD0,TBR
115123182C020KCXD0,TBR
1152182020016KH3PV,TBR
115221102C016MJUH0,TBR
115223182C018LUL40,TBR
115223182C018MVL30,TBR
115223852C020KJTL0,TBR
115223852C020KUH60,TBR
115223852C020KVH60,TBR
115223852C024KUH60,TBR
115223852C024KVTLV,TBR
1153110020016KCUC1,TBR
