__metadata,Equnr,Eqktu,Swerk,PName,SyStat,UserStat,UserStatTxt,CurrStat,Werks,Eqtyp
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C21555R17UXGNHMI01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C21555R17UXGNHMI01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C21555R17UXGNHMI01,215/55R17 UX GREEN TL_HMI01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C21555R17UXGNHMI02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C21555R17UXGNHMI02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C21555R17UXGNHMI02,215/55R17 UX GREEN TL_HMI02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C21565R16RHTTLGC03')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C21565R16RHTTLGC03')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C21565R16RHTTLGC03,215/65R16 BLAZZE HT_HGC01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C21565R16RHTTLGC04')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C21565R16RHTTLGC04')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C21565R16RHTTLGC04,215/65R16 BLAZZE HT_HGC02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('17575R16RANHPHMI01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('17575R16RANHPHMI01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",17575R16RANHPHMI01,175/75R16 RANGER HPE _ HMI01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('17575R16RANHPHMI02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('17575R16RANHPHMI02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",17575R16RANHPHMI02,175/75R16 RANGER HPE _ HMI02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('215%2F55R18RANTLTY01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('215%2F55R18RANTLTY01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",215/55R18RANTLTY01,215/55R18 RANGER HT TL _TY01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('215%2F55R18RANTLTY02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('215%2F55R18RANTLTY02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",215/55R18RANTLTY02,215/55R18 RANGER HT TL _TY02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('31570225JDCXDHM01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('31570225JDCXDHM01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",31570225JDCXDHM01,315/70R22.5 JETSTEEL JDC XD_HM01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('31570225JDCXDHM02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('31570225JDCXDHM02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",31570225JDCXDHM02,315/70R22.5 JETSTEEL JDC XD_HM02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('31580R225JDCXDHM01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('31580R225JDCXDHM01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",31580R225JDCXDHM01,315/80R22.5 JETSTEEL JDC XD TL _HM01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('31580R225JDCXDHM02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('31580R225JDCXDHM02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",31580R225JDCXDHM02,315/80R22.5 JETSTEEL JDC XD TL _HM02,1900,Chennai Tyre Plant,,,,ACTIVE,,
