plant,sku,src_gt,machine
PCR,1325118916008QRBT0,1816 RAN BRT,TBMPCR11Stage2
PCR,1325217613082TUNE1,1713 NEO EXP,TBMPCR8Stage2
PCR,1325215513073TTOR0,1563 TOR,TBMPCR4Stage2
PCR,1325116513077TTOR0,1633 TOR,TBMPCR5Stage2
PCR,1325220416092HURL0,2036 ROYL MSIL,TBMPCR1Stage2
PCR,1325219315085VUX10,1955 UX1,TBMPCR2Stage2
PCR,1325118916008QRBT0,1816 RAN BRT,TBMPCR9Stage2
PCR,1325223616105SELN0,2376 EZO MM,TBMPCR2Stage2
PCR,1325219415088VUX10,1965 UX1,TBMPCR8Stage2
PCR,1325219415088VUX10,1965 UX1,TBMPCR2Stage2
PCR,1325218515088TVEC1,1855 VEC RENAULT,TBMPCR10Stage2
PCR,1325214813075SETR0,1493 EZO TOU,TBMPCR4Stage2
PCR,1325216814085STOR0,1684 TOR MARUTI,TBMPCR4Stage2
PCR,1325218515088TVEC0,1865 VEC NISSAN,TBMPCR1Stage2
PCR,1325216814085STOR0,1684 TOR MARUTI,TBMPCR2Stage2
PCR,1325224716111SELSE,2416 SUP,TBMPCR9Stage2
PCR,1325224716111SELSE,2416 SUP,TBMPCR2Stage2
PCR,1325219315085VUX10,1955 UX1,TBMPCR10Stage2
PCR,1325114613071TUNX0,1433 NXT,TBMPCR8Stage2
PCR,1325216814085STOR0,1684 TOR MARUTI,TBMPCR8Stage2
PCR,1325215513073TTOR0,1563 TOR,TBMPCR5Stage2
PCR,1325218614088TVEC0,1874 VEC MM,TBMPCR6Stage2
PCR,1325223418103VRHP0,2368 RAN HT,TBMPCR9Stage2
PCR,1325216814085SETR0,1654 EZO TOU,TBMPCR5Stage2
PCR,1325214613071TUNX0,1473 NXT,TBMPCR3Stage2
PCR,1325218515088TVEC0,1865 VEC NISSAN,TBMPCR3Stage2
PCR,1325218614088TVEC0,1874 VEC MM,TBMPCR5Stage2
PCR,1325214813075SETR0,1493 EZO TOU,TBMPCR3Stage2
PCR,1325215813079TUNE0,1593 NEO,TBMPCR3Stage2
PCR,1325215613075TUNX0,1573 NXT,TBMPCR5Stage2
PCR,1325218515088SVEC1,1835 VEC MSIL,TBMPCR2Stage2
PCR,1325216814085SETR0,1654 EZO TOU,TBMPCR10Stage2
PCR,1325220416092HURL0,2036 ROYL MSIL,TBMPCR2Stage2
PCR,1325218614088TVEC0,1874 VEC MM,TBMPCR10Stage2
PCR,1325216814085STOR0,1684 TOR MARUTI,TBMPCR6Stage2
PCR,1325223616105SELN0,2376 EZO MM,TBMPCR10Stage2
PCR,1325224117099WLEV0,2447 LEVI,TBMPCR1Stage2
PCR,1325220416092HURL1,2086 ROYL FORD,TBMPCR1Stage2
PCR,1225227518123SBET0,2768 BLA XAT,TBMPCR10Stage2
PCR,1325215613075TUNX0,1573 NXT,TBMPCR4Stage2
PCR,1325214613071TUNX0,1473 NXT,TBMPCR8Stage2
PCR,1325216814085STOR0,1684 TOR MARUTI,TBMPCR3Stage2
PCR,1325221715100SRHT2,2005 RAN HT MM,TBMPCR1Stage2
PCR,1325215514075TUNEE,1554 NEO MM,TBMPCR3Stage2
PCR,1325216614081SVEC0,1674 VEC MSIL,TBMPCR3Stage2
PCR,1325220516095HETR0,2096 EZO TOU,TBMPCR8Stage2
PCR,1325218515088TVEC0,1865 VEC NISSAN,TBMPCR10Stage2
PCR,1325214813075SUNX0,1483 NXT MSIL,TBMPCR4Stage2
PCR,1325219315085VUX10,1955 UX1,TBMPCR1Stage2
PCR,1325219415088VUX10,1965 UX1,TBMPCR1Stage2
PCR,1325220416092HENX0,2066 NXT MARUTI,TBMPCR1Stage2
PCR,1325223317099VUX10,2357 UX1,TBMPCR1Stage2
PCR,1325219315085VUX10,1955 UX1,TBMPCR8Stage2
PCR,1325218515088TVEC0,1865 VEC NISSAN,TBMPCR2Stage2
PCR,1325218515088TVEC1,1855 VEC RENAULT,TBMPCR1Stage2
PCR,1325222217094VUX10,2217 UX1,TBMPCR8Stage2
PCR,1325215613075TUNX0,1573 NXT,TBMPCR8Stage2
PCR,1325216814085STOR0,1684 TOR MARUTI,TBMPCR1Stage2
PCR,1325216814085SURL0,1694 ROYL MSIL,TBMPCR8Stage2
PCR,1325214613071TUNX0,1473 NXT,TBMPCR4Stage2
PCR,1325215813079SVECO,1583 VEC NISSAN,TBMPCR5Stage2
PCR,1325216814085STOR0,1684 TOR MARUTI,TBMPCR5Stage2
PCR,1325215813079TUNE0,1593 NEO,TBMPCR4Stage2
PCR,1325222217094VUX10,2217 UX1,TBMPCR2Stage2
PCR,1325223317099VUX10,2357 UX1,TBMPCR11Stage2
PCR,1325218515088TVEC1,1855 VEC RENAULT,TBMPCR2Stage2
PCR,1325222217094VUX10,2217 UX1,TBMPCR1Stage2
PCR,1325215813079SVECO,1583 VEC NISSAN,TBMPCR6Stage2
PCR,1325217613082TUNE1,1713 NEO EXP,TBMPCR3Stage2
PCR,1325220416092HENX0,2066 NXT MARUTI,TBMPCR2Stage2
PCR,1325222217094VUX10,2217 UX1,TBMPCR10Stage2
PCR,1325221715100SRHT2,2005 RAN HT MM,TBMPCR2Stage2
PCR,1325216814085SETR0,1654 EZO TOU,TBMPCR6Stage2
PCR,1325215813079TUNE0,1593 NEO,TBMPCR8Stage2
