sku,qty,plant,matched_gt,reason,desc
1325221715100SRAT1,24.0,PCR,2015 RAN ATW,no MES history (unknown),215/75 R15 RANGER AT 100S RWL
1325221416095VRHE0,1138.0,Not Existing,,not in either master,215/60R16_RANGER HPE _95V TL_EV
1325216514079TUTR0,308.0,PCR,1604 UXT,no MES history (unknown),165/65R14_UX TOURING_79T TL
1325219416089HRHE0,0.0,Not Existing,,not in either master,195/60R16_RANGER HPE_89H TL_TML
1D25116814008QXPC0,414.0,PCR,1624 XPC TATA,no MES history (unknown),165R14_ULTIMA XPC_8PR_Q_TT
1325222217098YLEVY,271.0,PCR,2287 LEVI,no MES history (unknown),225/50R17_LEVITAS ULTRA_98Y  TL
1325221715100SRPG0,313.0,PCR,2175 RAN HT,no MES history (unknown),215/75R15_RANGER HT PUNCTURE GUARD_100S
1D25118Z14008QXPC0,0.0,PCR,1804 XPC TT,no MES history (unknown),185R14_ULTIMA XPC_8PR_Q_TT
1325218514086HURL0,0.0,PCR,1854 ROYL,no MES history (unknown),185/65R14_UX ROYALE_86 H  TL
1325221715100SRHT1,0.0,PCR,2115 RAN HTW,no MES history (unknown),215/75 R15 RANGER HT 100S RWL
1325223715105TRHT0,0.0,PCR,2375 RAN HT,no MES history (unknown),235/75R15 105T RANGER H/T TL
1325224117099VUX10,0.0,PCR,2417 UX1,no MES history (unknown),245/45R17_UX1_99V TL
1325226616111TBHT0,0.0,PCR,2656 BLA HT,no MES history (unknown),265/70R16 BLAZZE H/T 111T  TL
1122182020014KH3P0,0.0,TBR,GT 5022,no MES history (unknown),8.25R20_JUH3+_14PR_K_TT
1325231015109RBXT0,0.0,PCR,3005 BLA XAT,no MES history (unknown),31X10.50R15 LT BLAZZE X-A/T TL ? 109 R
1325219315089VUX10,0.0,PCR,1935 UX1 EXP,no MES history (unknown),195/55R15 UX1 89 V TL
1325218614088HURL0,0.0,PCR,1884 ROYL,no MES history (unknown),185/70 R14_UX ROYALE_88_H_TL
1325223517104HRHT1,0.0,PCR,2017 RAN HTW,no MES history (unknown),235/65 R17 RANGER HT 104H RWL
1325214813075STMX0,0.0,PCR,1453 MAX,no MES history (unknown),145/80 R13_TAXIMAX_75 S TL
1325220516095HURL1,0.0,PCR,2516 ROYL,no MES history (unknown),205/65 R16_UXROYALE_95 H TL_DOM EXP
1325220516095HTMX0,0.0,PCR,2066 MAX,no MES history (unknown),205/65R16_TAXIMAX_95 H TL
1325221416095HURL2,0.0,PCR,2166 ROYL KIA,no MES history (unknown),215/60R16_UX ROYALE_95 H TL_FOR KIA AY 1
1325225518111HRHP0,0.0,PCR,2558 RAN HTP,no MES history (unknown),255/65R18_RANGER HT_111H TL  _ M&M
1325216513077TUHL0,0.0,PCR,1623 UHL,no MES history (unknown),165/65R13_ ULTIMA HI^LIFE _77 T TL
1325224117099WLEVY,0.0,PCR,2447 LEVI,no MES history (unknown),245/45 R17_LEVITAS ULTRA_99W  TL
1325221716101TRHT0,0.0,PCR,2176 RAN HT,no MES history (unknown),215/75 R 16_RANGER H/T _101_T_TL
1325218614088TVECE,0.0,PCR,1834 VEC EXP,no MES history (unknown),185/70R14_ VECTRA _88 T TL_BRAZIL EXPORT
1325226617118QRMT0,0.0,PCR,2677 RAN MT,no MES history (unknown),265/70R17 RANGER M/T_118/115_Q_8PR RWL
1121111020016KJDH0,0.0,TBR,GT 5023,no MES history (unknown),11.00R20_JDH_16PR_K_TT
112322982C016M3021,0.0,TBR,GT 5092,no MES history (unknown),295/80R22.5_16 PR_SPEED M_JETWAY 302_152
112121102C016LJDH0,0.0,TBR,GT 5073,no MES history (unknown),11R22.5_JDH_16PR_L_TL
1121110020016KDH30,0.0,TBR,GT 5005,no MES history (unknown),10.00R20_JDH3_16PR_K_TT
1325218515088TVEUE,0.0,PCR,1805 VEC,no MES history (unknown),185/65 R15_VECTRA_88T T TL
1121182020014KDH30,0.0,TBR,GT 5021,no MES history (unknown),8.25R20_JDH3_14PR_K_TT
