sku,qty,order_type,market,rim
1325221715100SRAT1,24.0,MTS,Replacement,R15
1325221416095VRHE0,1138.0,MTS,Replacement,
1325216514079TUTR0,308.0,MTS,Replacement,R14
1D25116814008QXPC0,414.0,MTS,Replacement,R14
1325222217098YLEVY,271.0,MTS,Replacement,R17
1325221715100SRPG0,313.0,MTS,Replacement,R15
1325226517112HRHT1,1.0,MTS,Replacement,R17
1325223616105TRAT1,1.0,MTS,Replacement,R16
1225270016012NSTL0,34.0,MTO,EXPORT,
1325215613075TUNE1,79.0,MTO,EXPORT,R13
1325218515088TVEUE,1640.0,MTO,EXPORT,R15
1325220415095VUX10,56.0,MTO,EXPORT,R15
1325221317098VUX10,116.0,MTO,EXPORT,R17
1325221Z15113RRAT0,795.0,MTO,EXPORT,R15
1325222217098YLEVY,79.0,MTO,EXPORT,R17
1325226616111TBHT0,27.0,MTO,EXPORT,R16
1325226617115TRHT0,70.0,MTO,EXPORT,R17
1325231015109RBXT0,82.0,MTO,EXPORT,R15
1122111020016KJH30,55.00000000000001,MTO,OE,R20
1121110020016KDEP0,165.0,MTO,OE,R20
1122129A20000JUH50,2036.0,MTS,Replacement,R20
112222982C152MUXE0,393.0,MTS,Replacement,R22.5
112222982C152MUXE0,1661.0,MTO,OE,R22.5
1122129A20000JUH50,6512.000000000001,MTO,OE,R20
1121110020016KDEP0,166.0,MTS,Replacement,R20
1123129A20000JJC30,15.4,MTO,OE,R20
1121111020016KJDH0,13.0,MTO,EXPORT,R20
1122111020016KJH30,4.0,MTO,EXPORT,R20
115221102C016MJUH0,496.0,MTO,EXPORT,R22.5
115223182C018MVL30,107.0,MTO,EXPORT,R22.5
115223852C020KJTL0,583.0,MTO,EXPORT,R22.5
115223852C020KVH60,880.0,MTO,EXPORT,R22.5
115223852C024KUH60,347.0,MTO,EXPORT,R22.5
115223852C024KVTLV,145.0,MTO,EXPORT,R22.5
