sku,qty,order_type,market,rim
1325221715100SRAT1,24.0,MTS,Replacement,R15
1325221416095VRHE0,1138.0,MTS,Replacement,
1325216514079TUTR0,308.0,MTS,Replacement,R14
1D25116814008QXPC0,414.0,MTS,Replacement,R14
1325222217098YLEVY,271.0,MTS,Replacement,R17
1325221715100SRPG0,313.0,MTS,Replacement,R15
1325226517112HRHT1,1.0,MTS,Replacement,R17
1325223616105TRAT1,1.0,MTS,Replacement,R16
1225270016012NSTL0,34.0,MTO,EXPORT,
1325215613075TUNE1,79.0,MTO,EXPORT,R13
1325218515088TVEUE,1640.0,MTO,EXPORT,R15
1325220415095VUX10,56.0,MTO,EXPORT,R15
1325221317098VUX10,116.0,MTO,EXPORT,R17
1325221Z15113RRAT0,795.0,MTO,EXPORT,R15
1325222217098YLEVY,79.0,MTO,EXPORT,R17
1325226616111TBHT0,27.0,MTO,EXPORT,R16
1325226617115TRHT0,70.0,MTO,EXPORT,R17
1325231015109RBXT0,82.0,MTO,EXPORT,R15
1123129A20000JJC30,15.4,MTO,OE,R20
1121111020016KJDH0,13.0,MTO,EXPORT,R20
