plant,gt_code,sku,qty,month,due_date,day
PCR,GT  T1457 STAR,1325214617107MSXT0,324.0,2026-02,2026-02-01,1
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,695.0,2026-02,2026-02-01,1
PCR,GT 1412 XPC MM,1D25114012008QXPC0,314.0,2026-02,2026-02-01,1
PCR,GT 1482 UHL,1325214812074TUHL0,352.0,2026-02,2026-02-01,1
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,2653.0,2026-02,2026-02-01,1
PCR,GT 1543 XPC1,1D25215013008SXC1T,24.0,2026-02,2026-02-01,1
PCR,GT 1583 NEO TATA,1325215813079TUNE5,539.0,2026-02,2026-02-01,1
PCR,GT 1634 XPC TATA,1D25216814008QXPC0,370.0,2026-02,2026-02-01,1
PCR,GT 1672 SPT,1325216612077TUSP0,186.0,2026-02,2026-02-01,1
PCR,GT 1765 ROYL,1325217515084HURL2,562.0,2026-02,2026-02-01,1
PCR,GT 1844 XPC TML,1D25218014010RXPCT,284.0,2026-02,2026-02-01,1
PCR,GT 1856 ROYL,1325218316083HURL0,74.0,2026-02,2026-02-01,1
PCR,GT 1894 MAX,1325218614088TTMX0,360.0,2026-02,2026-02-01,1
PCR,GT 1925 XPC1,1225219Z15008SXC11,663.0,2026-02,2026-02-01,1
PCR,GT 1966 RAN HPE,1325219416089VRHE0,298.0,2026-02,2026-02-01,1
PCR,GT 1995 ROYL KIA,1325219515091HURL2,684.0,2026-02,2026-02-01,1
PCR,GT 2057 UX1,1325221217095VUX10,188.0,2026-02,2026-02-01,1
PCR,GT 2076 RAN HT,1325220416092HRHT0,260.0,2026-02,2026-02-01,1
PCR,GT 2158 ROYL HYU,1325221318095HURL0,393.0,2026-02,2026-02-01,1
PCR,GT 2267 ROYL HYU,1325221417096HURL0,1277.0,2026-02,2026-02-01,1
PCR,GT 2526 ROYL PG,1325221416095VURP0,128.0,2026-02,2026-02-01,1
PCR,GT 2568 HT2,1325225518111HRHB0,802.0,2026-02,2026-02-01,1
PCR,GT 2576 EZO TATA,1325223616109SELZ0,120.0,2026-02,2026-02-01,1
PCR,GT1513 NEO,1325215513073TUNE0,583.0,2026-02,2026-02-01,1
PCR,GT1564 NEO,1325215514075TUNE0,329.0,2026-02,2026-02-01,1
PCR,GT1915 LT XPC1,1225219Z15008SXC10,243.0,2026-02,2026-02-01,1
PCR,GT2277 RAN HT,1325222517102HRHT0,174.0,2026-02,2026-02-01,1
PCR,GT  T1457 STAR,1325214617107MSXT0,222.0,2026-02,2026-02-02,2
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,626.0,2026-02,2026-02-02,2
PCR,GT 1412 XPC MM,1D25114012008QXPC0,320.0,2026-02,2026-02-02,2
PCR,GT 1422 MAX,1325214812074TTMX0,1.0,2026-02,2026-02-02,2
PCR,GT 1482 UHL,1325214812074TUHL0,346.0,2026-02,2026-02-02,2
