month,plant,days,month_days,gts,qty,qty_per_day_p50,qty_per_day_min,qty_per_day_max
2025-12,PCR,31,31,41,390714,12799,8738,13285
2025-12,TBR,31,31,56,94297,3127,2057,3372
2026-01,PCR,30,31,52,349532,12666,3068,13237
2026-01,TBR,30,31,47,88578,3242,920,3561
2026-02,PCR,28,28,58,357095,12874,10942,13338
2026-02,TBR,28,28,57,91632,3286,3071,3485
2026-03,PCR,31,31,60,387888,12647,10966,13293
2026-03,TBR,31,31,50,96200,3123,2205,3349
2026-04,PCR,30,30,56,348741,11902,3608,13295
2026-04,TBR,30,30,50,84338,2900,884,3179
2026-05,PCR,31,31,45,359632,11842,5196,13303
2026-05,TBR,31,31,52,93674,3104,1632,3454
2026-06,PCR,30,30,45,384869,12931,11875,14016
2026-06,TBR,30,30,51,91074,2993,2642,3402
2026-07,PCR,31,31,48,398405,12775,12254,13517
2026-07,TBR,31,31,56,98020,3283,2029,3455
