plant,gt_code,sku,qty,age_p50_h,age_max_h,as_of
PCR,GT 1503 NEO MSIL,1325215813079TUNE3,626,9.5,55.6,2026-06-01 07:00:00
PCR,GT 1765 ROYL,1325217515084HURL2,492,5.6,54.7,2026-06-01 07:00:00
PCR,GT 1925 XPC1,1225219Z15008SXC11,359,20.0,34.2,2026-06-01 07:00:00
PCR,GT 2568 HT2,1325225518111HRHB0,347,21.4,52.6,2026-06-01 07:00:00
PCR,GT 2476 SUP MM,1325224716111SELS0,304,4.0,45.2,2026-06-01 07:00:00
PCR,GT 1513 XPC1 MSIL,1D25215013008SXC10,292,1.3,55.8,2026-06-01 07:00:00
PCR,GT 1402 XPC TATA,1D25214012008QXPCT,280,6.1,51.9,2026-06-01 07:00:00
PCR,GT 2158 ROYL HYU,1325221318095HURL0,257,1.4,53.7,2026-06-01 07:00:00
PCR,GT 1844 XPC TML,1D25218014010RXPCT,228,3.8,51.7,2026-06-01 07:00:00
PCR,GT2266 RAN HT,1325221516098HRHT0,220,8.9,11.9,2026-06-01 07:00:00
PCR,GT 1865 ROYL RENO,1325218515088TURL1,188,1.9,4.0,2026-06-01 07:00:00
PCR,GT 1995 ROYL KIA,1325219515091HURL2,186,11.0,55.2,2026-06-01 07:00:00
PCR,GT 1673 NEO,1325216613079HUNE0,175,14.2,17.1,2026-06-01 07:00:00
PCR,GT 1672 SPT,1325216612077TUSP0,173,1.5,3.0,2026-06-01 07:00:00
PCR,GT 1634 XPC TATA,1D25216814008QXPC0,171,13.0,35.0,2026-06-01 07:00:00
PCR,GT 2267 ROYL HYU,1325221417096HURL0,164,1.7,46.7,2026-06-01 07:00:00
PCR,GT 1583 NEO TATA,1325215813079TUNE5,111,0.9,34.8,2026-06-01 07:00:00
PCR,GT 2617 RAN XAT,1325226517112HRXT0,100,6.5,9.3,2026-06-01 07:00:00
PCR,GT 2618 RAN ATB,1325225518111HRAT1,92,7.7,9.5,2026-06-01 07:00:00
PCR,GT 1482 UHL,1325214812074TUHL0,60,17.9,55.2,2026-06-01 07:00:00
PCR,GT 1894 MAX,1325218614088TTMX0,28,17.6,45.2,2026-06-01 07:00:00
PCR,GT 1684 ROYL,1325216814085TURL2,25,0.4,38.9,2026-06-01 07:00:00
PCR,GT 2258 RAN HPE,1325222318098HRHE0,23,15.4,31.9,2026-06-01 07:00:00
PCR,GT  T1457 STAR,"",10,19.5,55.6,2026-06-01 07:00:00
PCR,GT 1916 ROYL,1325219416089HURL1,1,38.0,38.0,2026-06-01 07:00:00
PCR,GT 2666 RAN HT,1325226616111TRHT0,1,50.5,50.5,2026-06-01 07:00:00
TBR,10.00 R 20 JUH5,"",155,7.2,44.6,2026-06-01 07:00:00
TBR,11.00R20JDE++,"",113,4.1,53.8,2026-06-01 07:00:00
TBR,GT 5076 - 295/90R20 JDE XF,"",105,3.9,50.5,2026-06-01 07:00:00
TBR,10.00 R 20 JUH3+,"",90,8.5,55.9,2026-06-01 07:00:00
TBR,8.25R20JUH5,"",85,4.2,52.1,2026-06-01 07:00:00
TBR,275/70R22.5JTH1,"",67,2.2,5.5,2026-06-01 07:00:00
TBR,315/80R22.5JUL4,"",61,8.9,39.6,2026-06-01 07:00:00
TBR,11R22.5JUHE,"",58,1.8,48.8,2026-06-01 07:00:00
TBR,8.25R20JDE++,"",57,9.4,13.0,2026-06-01 07:00:00
TBR,11R22.5JDH,"",55,14.5,22.4,2026-06-01 07:00:00
TBR,10.00 R 20 JDE,"",55,6.1,8.5,2026-06-01 07:00:00
TBR,GT 5075 - 295/90R20 JUH XF,"",50,15.0,52.0,2026-06-01 07:00:00
TBR,GT 5014 - 10.00R20 CUX,"",50,7.1,9.4,2026-06-01 07:00:00
TBR,295/90R20JDCXD,"",49,1.5,25.8,2026-06-01 07:00:00
TBR,GT 5078 - 295/80R22.5 JUX E,"",39,1.7,54.1,2026-06-01 07:00:00
TBR,9.00 R 20 JUH3,"",37,20.2,27.2,2026-06-01 07:00:00
TBR,GT 5096 - 11.00R20 JDC XD,"",36,1.1,52.9,2026-06-01 07:00:00
TBR,295/80R22.5JDC3,"",36,28.0,29.7,2026-06-01 07:00:00
TBR,GT 5111 - 11R22.5 JDC,"",35,21.4,25.0,2026-06-01 07:00:00
TBR,GT 5101 - 11.00R20 JS114,"",35,24.8,55.1,2026-06-01 07:00:00
TBR,385/65R22.5JUH6,"",35,20.2,48.1,2026-06-01 07:00:00
TBR,295/80R22.5JUL1,"",17,12.0,54.4,2026-06-01 07:00:00
TBR,11.00R20 JUH5,"",16,12.4,14.2,2026-06-01 07:00:00
TBR,10.00R 20 JW302,"",13,0.5,40.4,2026-06-01 07:00:00
TBR,GT 5083 - 295/80R22.5 JUM XM,"",11,9.6,51.6,2026-06-01 07:00:00
TBR,GT 5095 - 11.00R20 JUC3,"",7,13.1,43.7,2026-06-01 07:00:00
TBR,385/65R22.5JTL,"",6,28.0,28.2,2026-06-01 07:00:00
TBR,11R22.5JTH1,"",1,53.9,53.9,2026-06-01 07:00:00
