plant,machine,changeovers,same_size,size_changes,total_co_min,mean_co_min,unreserved_co_min,max_single_co_min,max_co_from_gt,max_co_to_gt,max_co_from_rim,max_co_to_rim,max_co_type,max_co_at,machine_days_run,co_per_machine_day_OURS,co_per_machine_day_PLANT,co_per_machine_day_DELTA
PCR,TBMPCR10Stage2,64,64,0,1408.0,22.0,0.0,22.0,GT 1583 NEO TATA,GT 1503 NEO MSIL,R13,R13,same-size,2026-08-01 12:19,31,2.06,,
PCR,TBMPCR11Stage2,61,35,26,1862.0,30.52,0.0,42.0,GT 2476 SUP MM,GT 2076 RAN HT,R16,(no rim),size-change,2026-08-02 13:39,31,1.97,,
PCR,TBMPCR1Stage2,56,43,13,1984.0,35.43,0.0,60.0,GT 2267 ROYL PG,GT2277 RAN HT,R17,(no rim),size-change,2026-08-25 18:41,31,1.81,,
PCR,TBMPCR2Stage2,73,5,68,4220.0,57.81,0.0,60.0,GT 2158 ROYL HYU,GT 2267 ROYL HYU,R18,R17,size-change,2026-08-01 15:51,31,2.35,,
PCR,TBMPCR3Stage2,91,79,12,2932.0,32.22,0.0,60.0,GT 1765 ROYL,GT1513 NEO,R15,(no rim),size-change,2026-08-12 04:04,31,2.94,,
PCR,TBMPCR4Stage2,71,51,20,2628.0,37.01,0.0,60.0,GT 1402 XPC TATA,GT 1672 SPT,R12,(no rim),size-change,2026-08-16 12:47,31,2.29,,
PCR,TBMPCR5Stage2,75,31,44,3508.0,46.77,0.0,60.0,GT 1503 NEO MSIL,GT1513 NEO,R13,(no rim),size-change,2026-08-01 16:27,30,2.5,,
PCR,TBMPCR6Stage2,156,86,70,4832.0,30.97,0.0,42.0,GT 1894 MAX,GT1914 XPC1,R14,(no rim),size-change,2026-08-01 12:33,31,5.03,,
PCR,TBMPCR7Stage2,86,86,0,1892.0,22.0,0.0,22.0,GT 1503 NEO MSIL,GT 1673 NEO,R13,R13,same-size,2026-08-01 14:06,31,2.77,,
PCR,TBMPCR8Stage2,62,21,41,2184.0,35.23,0.0,42.0,GT 1995 ROYL KIA,GT 1965 ROYL,R15,(no rim),size-change,2026-08-01 21:28,31,2.0,,
PCR,TBMPCR9Stage2,98,83,15,2456.0,25.06,0.0,42.0,GT 2568 HT2,GT 2668 RAN HTP,R18,(no rim),size-change,2026-08-23 15:27,31,3.16,,
TBR,TBMTBR1Stage2,60,60,0,600.0,10.0,0.0,10.0,10.00 R 20 JUH5,10.00R 20 JW302,R20,R20,same-size,2026-08-01 13:55,31,1.94,,
TBR,TBMTBR2Stage2,18,18,0,180.0,10.0,0.0,10.0,10.00 R 20 JDE,295/90R20JDCXD,R20,R20,same-size,2026-08-09 21:45,31,0.58,,
TBR,TBMTBR3Stage2,60,60,0,600.0,10.0,0.0,10.0,GT 5076 - 295/90R20 JDE XF,GT 5095 - 11.00R20 JUC3,R20,R20,same-size,2026-08-01 14:22,31,1.94,,
TBR,TBMTBR4Stage2,20,20,0,200.0,10.0,0.0,10.0,GT 5075 - 295/90R20 JUH XF,10.00 R 20 JUH5,R20,R20,same-size,2026-08-02 07:05,31,0.65,,
TBR,TBMTBR6Stage2,122,81,41,1794.0,14.7,0.0,24.0,GT 5114 - 315/80R22.5 JDC XD,315/80R22.5JUL4,(no rim),R22.5,size-change,2026-08-01 22:08,31,3.94,,
TBR,TBMTBR7Stage2,98,94,4,1036.0,10.57,0.0,24.0,8.25R20JDE++,8.25R20JUH3+,R20,(no rim),size-change,2026-08-26 11:01,31,3.16,,
TBR,TBMTBR8Stage2,87,87,0,870.0,10.0,0.0,10.0,GT 5096 - 11.00R20 JDC XD,295/90R20JDCXD,R20,R20,same-size,2026-08-01 21:38,31,2.81,,
TBR,TBMTBR9Stage2,84,84,0,840.0,10.0,0.0,10.0,GT 5103 - 295/80R22.5 JUM XM OEM,295/80R22.5JDL,R22.5,R22.5,same-size,2026-08-01 15:27,31,2.71,,
