plant,date,shift,plant_day,carry_out,press,gt_code,gt_description,tyre_size,rim,modal_sku,n_skus,mould_set,qty,qty_run,qty_planned,start_ts,end_ts,hours,segments,campaigns,campaign_id
PCR,2026-08-01,A,1,false,120,GT 1482 UHL,145/80 R 12 ULTIMA HI LIFE TL (+13 SKUs),R12,R12,1325214812074TUHL0,14,G::PCR::GT 1482 UHL,156.0,53.7,53.7,2026-08-01 07:00,2026-08-01 15:00,8.0,1,1,PCR-120-08010700
PCR,2026-08-01,A,1,false,121,GT 2267 ROYL HYU,215/60 R17 UX ROYALE HYUNDAI (+9 SKUs),R17,R17,1325221417096HURL0,10,G::PCR::GT 2267 ROYL HYU,107.0,54.9,55.5,2026-08-01 07:00,2026-08-01 15:00,8.0,1,1,PCR-121-08010700
PCR,2026-08-01,A,1,false,122,GT 1995 ROYL KIA,195/65R15 UX ROYALE (+10 SKUs),R15,R15,1325219515091HURL2,11,G::PCR::GT 1965 ROYL,155.0,59.3,59.3,2026-08-01 07:00,2026-08-01 15:00,8.0,1,1,PCR-122-08010700
PCR,2026-08-01,A,1,false,124,GT 1765 ROYL,175/65 R15 UX ROYALE (+5 SKUs),R15,R15,1325217515084HURL2,6,G::PCR::GT 1765 ROYL,144.0,59.2,59.3,2026-08-01 07:00,2026-08-01 15:00,8.0,1,1,PCR-124-08010700
PCR,2026-08-01,A,1,false,125,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,G::PCR::GT 1513 XPC1 MSIL,151.0,47.7,47.7,2026-08-01 07:00,2026-08-01 15:00,8.0,1,1,PCR-125-08010700
PCR,2026-08-01,A,1,false,126,GT 2568 HT2,255/65 R 18 Ranger HT2 111 H,R18,R18,1325225518111HRHB0,1,G::PCR::GT 2568 HT2,152.0,48.7,50.5,2026-08-01 07:00,2026-08-01 15:00,8.0,1,1,PCR-126-08010700
PCR,2026-08-01,A,1,false,127,GT 1634 XPC TATA,165 R14 ULTIMA XPC TATA TL (+5 SKUs),R14,R14,1D25216814008QXPC0,6,G::PCR::GT 1634 XPC TATA,157.0,45.2,45.2,2026-08-01 07:00,2026-08-01 15:00,8.0,1,1,PCR-127-08010700
PCR,2026-08-01,A,1,false,186,GT 2476 SUP MM,245/75 R16 ELANZO SUPRA,"",R16,1325224716111SELS0,1,G::PCR::GT 2476 SUP MM,151.0,49.1,49.1,2026-08-01 07:00,2026-08-01 15:00,8.0,1,1,PCR-186-08010700
PCR,2026-08-01,A,1,false,188,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,G::PCR::GT 1513 XPC1 MSIL,157.0,47.7,47.7,2026-08-01 07:00,2026-08-01 15:00,8.0,1,1,PCR-188-08010700
PCR,2026-08-01,A,1,false,189,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,G::PCR::GT 1513 XPC1 MSIL,0.0,45.3,47.7,2026-08-01 07:00,2026-08-01 15:00,8.0,1,1,PCR-189-08010700
