plant,start_date,start_shift,plant_day,carry_out,finishes_next_month,press,gt_code,gt_description,tyre_size,rim,modal_sku,n_skus,mould_set,qty_planned,qty_fed,qty_unfed,start_ts,end_ts,hours,campaign_id
PCR,2026-08-01,A,1,false,false,120,GT 1482 UHL,145/80 R 12 ULTIMA HI LIFE TL (+13 SKUs),R12,R12,1325214812074TUHL0,14,G::PCR::GT 1482 UHL,4191.0,4191.0,0.0,2026-08-01 07:00,2026-08-27 07:09,624.15,PCR-120-08010700
PCR,2026-08-01,A,1,false,false,121,GT 2267 ROYL HYU,215/60 R17 UX ROYALE HYUNDAI (+9 SKUs),R17,R17,1325221417096HURL0,10,G::PCR::GT 2267 ROYL HYU,4204.0,4160.0,44.0,2026-08-01 07:00,2026-08-26 13:23,606.4,PCR-121-08010700
PCR,2026-08-01,A,1,false,false,122,GT 1995 ROYL KIA,195/65R15 UX ROYALE (+10 SKUs),R15,R15,1325219515091HURL2,11,G::PCR::GT 1965 ROYL,4646.0,4646.0,0.0,2026-08-01 07:00,2026-08-27 09:38,626.64,PCR-122-08010700
PCR,2026-08-01,A,1,false,false,124,GT 1765 ROYL,175/65 R15 UX ROYALE (+5 SKUs),R15,R15,1325217515084HURL2,6,G::PCR::GT 1765 ROYL,4026.0,4015.0,11.0,2026-08-01 07:00,2026-08-23 22:00,543.01,PCR-124-08010700
PCR,2026-08-01,A,1,false,false,125,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,G::PCR::GT 1513 XPC1 MSIL,3912.0,3912.0,0.0,2026-08-01 07:00,2026-08-28 14:53,655.88,PCR-125-08010700
PCR,2026-08-01,A,1,false,false,126,GT 2568 HT2,255/65 R 18 Ranger HT2 111 H,R18,R18,1325225518111HRHB0,1,G::PCR::GT 2568 HT2,3633.0,3502.0,131.0,2026-08-01 07:00,2026-08-25 06:04,575.08,PCR-126-08010700
PCR,2026-08-01,A,1,false,false,127,GT 1634 XPC TATA,165 R14 ULTIMA XPC TATA TL (+5 SKUs),R14,R14,1D25216814008QXPC0,6,G::PCR::GT 1634 XPC TATA,3283.0,3283.0,0.0,2026-08-01 07:00,2026-08-25 12:10,581.18,PCR-127-08010700
PCR,2026-08-01,A,1,false,false,186,GT 2476 SUP MM,245/75 R16 ELANZO SUPRA,"",R16,1325224716111SELS0,1,G::PCR::GT 2476 SUP MM,3606.0,3606.0,0.0,2026-08-01 07:00,2026-08-25 18:41,587.69,PCR-186-08010700
PCR,2026-08-01,A,1,false,false,188,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,G::PCR::GT 1513 XPC1 MSIL,3121.0,3121.0,0.0,2026-08-01 07:00,2026-08-23 02:15,523.27,PCR-188-08010700
PCR,2026-08-01,A,1,false,false,189,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,G::PCR::GT 1513 XPC1 MSIL,3121.0,2964.0,157.0,2026-08-01 07:00,2026-08-23 02:15,523.27,PCR-189-08010700
