plant,press,from_gt,to_gt,start_ts,end_ts,minutes,crew,same_rim,day,shift,spans_boundary,plant_day,cal_date,date
PCR,119,GT 1503 NEO MSIL,GT1915 LT XPC1,2026-08-27 06:13,2026-08-27 12:13,360.0,3,false,26,C,true,26,2026-08-27,2026-08-26
PCR,120,GT 1482 UHL,GT 2247 LEVI,2026-08-27 07:09,2026-08-27 13:09,360.0,3,false,27,A,false,27,2026-08-27,2026-08-27
PCR,121,GT 2267 ROYL HYU,GT 1844 XPC TML,2026-08-26 13:23,2026-08-26 19:23,360.0,3,false,26,A,true,26,2026-08-26,2026-08-26
PCR,122,GT 1995 ROYL KIA,GT 1925 XPC1,2026-08-27 09:38,2026-08-27 15:38,360.0,3,true,27,A,true,27,2026-08-27,2026-08-27
PCR,123,GT 1503 NEO MSIL,GT 1844 XPC TML,2026-08-30 16:25,2026-08-30 22:25,360.0,3,false,30,B,false,30,2026-08-30,2026-08-30
PCR,124,GT 1765 ROYL,GT 3125 RAN MT,2026-08-23 22:00,2026-08-24 04:00,360.0,3,true,23,B,true,23,2026-08-23,2026-08-23
PCR,126,GT 2568 HT2,GT 1844 XPC TML,2026-08-25 06:04,2026-08-25 12:04,360.0,3,false,24,C,true,24,2026-08-25,2026-08-24
PCR,127,GT 1634 XPC TATA,GT 1513 XPC1 MSIL,2026-08-25 12:10,2026-08-25 18:10,360.0,3,false,25,A,true,25,2026-08-25,2026-08-25
TBR,134,295/80R22.5JUL1,295/80R22.5JDL,2026-08-26 11:27,2026-08-26 17:28,361.0,3,true,26,A,true,26,2026-08-26,2026-08-26
TBR,137,8.25R20JDE++,10.00 R 20 JUH5,2026-08-30 10:59,2026-08-30 17:00,361.0,3,true,30,A,true,30,2026-08-30,2026-08-30
TBR,145,10.00 R 20 JUH5,GT 5075 - 295/90R20 JUH XF,2026-08-29 09:41,2026-08-29 15:42,361.0,3,true,29,A,true,29,2026-08-29,2026-08-29
TBR,146,10.00 R 20 JUH5,GT 5096 - 11.00R20 JDC XD,2026-08-29 09:41,2026-08-29 15:42,361.0,3,true,29,A,true,29,2026-08-29,2026-08-29
TBR,147,10.00 R 20 JUH5,10.00 R 20 JDE,2026-08-29 09:41,2026-08-29 15:42,361.0,3,true,29,A,true,29,2026-08-29,2026-08-29
TBR,148,10.00 R 20 JUH5,GT 5075 - 295/90R20 JUH XF,2026-08-29 09:41,2026-08-29 15:42,361.0,3,true,29,A,true,29,2026-08-29,2026-08-29
TBR,149,10.00R 20 JW302,GT 5076 - 295/90R20 JDE XF,2026-08-27 09:51,2026-08-27 15:52,361.0,3,true,27,A,true,27,2026-08-27,2026-08-27
TBR,150,8.25R20JUH5,10.00 R 20 JUH5,2026-08-28 16:16,2026-08-28 22:17,361.0,3,true,28,B,false,28,2026-08-28,2026-08-28
TBR,152,8.25R20JDE++,10.00R 20 JW302,2026-08-24 04:11,2026-08-24 10:12,361.0,3,true,23,C,true,23,2026-08-24,2026-08-23
TBR,153,9.00 R 20 JUH5,10.00 R 20 JUH5,2026-08-23 15:23,2026-08-23 21:24,361.0,3,true,23,B,false,23,2026-08-23,2026-08-23
TBR,154,GT 5076 - 295/90R20 JDE XF,10.00 R 20 JUH5,2026-08-24 04:05,2026-08-24 10:06,361.0,3,true,23,C,true,23,2026-08-24,2026-08-23
TBR,159,8.25R20JUH5,8.25R20VUH3+,2026-08-23 12:59,2026-08-23 19:00,361.0,3,true,23,A,true,23,2026-08-23,2026-08-23
TBR,159,8.25R20VUH3+,8.25R20JUH5,2026-08-29 17:43,2026-08-29 23:44,361.0,3,true,29,B,true,29,2026-08-29,2026-08-29
TBR,162,GT 5096 - 11.00R20 JDC XD,8.25R20JUH5,2026-08-24 18:41,2026-08-25 00:42,361.0,3,true,24,B,true,24,2026-08-24,2026-08-24
TBR,162,8.25R20JUH5,8.25R20JDE++,2026-08-30 10:10,2026-08-30 16:11,361.0,3,true,30,A,true,30,2026-08-30,2026-08-30
TBR,163,10.00 R 20 JDE,GT 5075 - 295/90R20 JUH XF,2026-08-23 18:51,2026-08-24 00:52,361.0,3,true,23,B,true,23,2026-08-23,2026-08-23
TBR,166,GT 5078 - 295/80R22.5 JUX E,GT 5103 - 295/80R22.5 JUM XM OEM,2026-08-24 19:48,2026-08-25 01:49,361.0,3,true,24,B,true,24,2026-08-24,2026-08-24
TBR,168,GT 5083 - 295/80R22.5 JUM XM,8.25R20JDE++,2026-08-24 05:10,2026-08-24 11:11,361.0,3,false,23,C,true,23,2026-08-24,2026-08-23
TBR,168,8.25R20JDE++,10.00 R 20 JUH5,2026-08-30 12:25,2026-08-30 18:26,361.0,3,true,30,A,true,30,2026-08-30,2026-08-30
TBR,170,GT 5103 - 295/80R22.5 JUM XM OEM,GT 5078 - 295/80R22.5 JUX E,2026-08-27 16:07,2026-08-27 22:08,361.0,3,true,27,B,false,27,2026-08-27,2026-08-27
TBR,172,295/80R22.5JDL,GT 5114 - 315/80R22.5 JDC XD,2026-08-23 12:59,2026-08-23 19:00,361.0,3,false,23,A,true,23,2026-08-23,2026-08-23
TBR,174,10.00 R 20 JDE,GT 5076 - 295/90R20 JDE XF,2026-08-23 18:51,2026-08-24 00:52,361.0,3,true,23,B,true,23,2026-08-23,2026-08-23
TBR,175,10.00 R 20 JDE,GT 5096 - 11.00R20 JDC XD,2026-08-23 18:51,2026-08-24 00:52,361.0,3,true,23,B,true,23,2026-08-23,2026-08-23
TBR,176,10.00 R 20 JUH5,GT 5075 - 295/90R20 JUH XF,2026-08-23 08:40,2026-08-23 14:41,361.0,3,true,23,A,false,23,2026-08-23,2026-08-23
PCR,184,GT 2267 ROYL HYU,GT 1894 MAX,2026-08-23 21:05,2026-08-24 03:05,360.0,3,false,23,B,true,23,2026-08-23,2026-08-23
