plant,day,shift,changes,fitters
PCR,8,C,1,3
PCR,11,B,2,6
PCR,12,B,2,6
PCR,14,B,1,3
PCR,15,B,1,3
PCR,15,C,7,21
PCR,16,A,6,18
PCR,16,B,2,6
PCR,16,C,3,9
PCR,17,B,2,6
PCR,18,A,1,3
PCR,19,A,3,9
PCR,19,B,2,6
PCR,21,B,2,6
PCR,22,C,3,9
PCR,23,A,2,6
PCR,23,B,3,9
PCR,23,C,2,6
PCR,24,A,6,18
PCR,24,B,2,6
PCR,24,C,2,6
PCR,25,A,2,6
PCR,25,B,4,12
PCR,25,C,5,15
PCR,26,A,3,9
PCR,26,B,6,18
PCR,26,C,3,9
PCR,27,A,4,12
PCR,27,B,2,6
PCR,27,C,1,3
PCR,28,A,2,6
PCR,28,C,2,6
PCR,29,B,2,6
PCR,29,C,4,12
PCR,30,A,1,3
PCR,30,B,3,9
PCR,30,C,4,12
PCR,31,A,6,18
PCR,31,B,3,9
PCR,31,C,5,15
TBR,12,B,1,3
TBR,13,C,2,6
TBR,15,A,1,3
TBR,16,B,1,3
TBR,16,C,7,21
TBR,17,B,5,15
TBR,17,C,1,3
TBR,18,A,2,6
TBR,18,B,1,3
TBR,19,A,1,3
TBR,19,C,1,3
TBR,20,B,1,3
TBR,20,C,1,3
TBR,21,A,2,6
TBR,21,C,1,3
TBR,23,A,4,12
TBR,23,B,4,12
TBR,23,C,3,9
TBR,24,B,2,6
TBR,24,C,1,3
TBR,25,C,1,3
TBR,26,A,3,9
TBR,27,A,1,3
TBR,27,B,5,15
TBR,27,C,2,6
TBR,28,A,1,3
TBR,28,B,6,18
TBR,28,C,1,3
TBR,29,A,11,33
TBR,29,B,3,9
TBR,29,C,3,9
TBR,30,A,5,15
