plant,machine,tyres,runs,distinct_gts,changeovers,size_changes,busy_h,occupancy_pct,idle_h,setup_required_h,setup_unreserved_h,runs_short_of_setup,occupancy_pct_with_setup
PCR,TBMPCR10Stage2,46395.0,65,5,64,0,628.3,84.4,115.7,23.5,0.0,0,84.4
PCR,TBMPCR11Stage2,27481.0,62,8,61,26,565.8,76.0,178.2,31.0,0.0,0,76.0
PCR,TBMPCR1Stage2,28811.0,57,7,56,13,526.1,70.7,217.9,33.1,0.0,0,70.7
PCR,TBMPCR2Stage2,33602.0,74,19,73,68,621.1,83.5,122.9,70.3,0.0,0,83.5
PCR,TBMPCR3Stage2,32152.0,92,7,91,12,615.3,82.7,128.7,48.9,0.0,0,82.7
PCR,TBMPCR4Stage2,38389.0,72,5,71,20,574.6,77.2,169.4,43.8,0.0,0,77.2
PCR,TBMPCR5Stage2,36644.0,76,9,75,44,541.7,72.8,202.3,58.5,0.0,0,72.8
PCR,TBMPCR6Stage2,34593.0,157,8,156,70,576.6,77.5,167.4,80.5,0.0,0,77.5
PCR,TBMPCR7Stage2,47379.0,87,5,86,0,642.4,86.3,101.6,31.5,0.0,0,86.3
PCR,TBMPCR8Stage2,32653.0,63,9,62,41,569.8,76.6,174.2,36.4,0.0,0,76.6
PCR,TBMPCR9Stage2,32136.0,99,7,98,15,644.5,86.6,99.5,40.9,0.0,0,86.6
TBR,TBMTBR1Stage2,10884.0,61,7,60,0,611.9,82.2,132.1,10.0,0.0,0,82.2
TBR,TBMTBR2Stage2,11978.0,19,6,18,0,673.1,90.5,70.9,3.0,0.0,0,90.5
TBR,TBMTBR3Stage2,10869.0,61,8,60,0,610.9,82.1,133.1,10.0,0.0,0,82.1
TBR,TBMTBR4Stage2,9411.0,21,3,20,0,528.9,71.1,215.1,3.3,0.0,0,71.1
TBR,TBMTBR5Stage2,8710.0,1,1,0,0,489.7,65.8,254.3,0.0,0.0,0,65.8
TBR,TBMTBR6Stage2,11308.0,123,13,122,41,645.8,86.8,98.2,29.9,0.0,0,86.8
TBR,TBMTBR7Stage2,11070.0,99,7,98,4,583.3,78.4,160.7,17.3,0.0,0,78.4
TBR,TBMTBR8Stage2,9575.0,88,12,87,0,531.9,71.5,212.1,14.5,0.0,0,71.5
TBR,TBMTBR9Stage2,10101.0,85,5,84,0,566.8,76.2,177.2,14.0,0.0,0,76.2
