plant,press,tyres,tyres_planned,tyres_unfed,campaigns,distinct_gts,busy_h,utilisation_pct,idle_h
PCR,119,5439.0,5395.0,-44.0,2,2,726.1,97.6,17.9
PCR,120,4549.0,4870.0,321.0,2,2,738.0,99.2,6.0
PCR,121,4819.0,4861.0,42.0,2,2,738.0,99.2,6.0
PCR,122,5162.0,5123.0,-39.0,2,2,738.0,99.2,6.0
PCR,123,5650.0,5648.0,-2.0,3,2,726.1,97.6,17.9
PCR,124,5027.0,4935.0,-92.0,2,2,738.0,99.2,6.0
PCR,125,4469.0,4438.0,-31.0,2,1,744.0,100.0,0.0
PCR,126,4325.0,4446.0,121.0,2,2,738.0,99.2,6.0
PCR,127,4500.0,4218.0,-282.0,3,2,738.0,99.2,6.0
PCR,184,5159.0,5149.0,-10.0,3,2,726.1,97.6,17.9
PCR,185,4673.0,4826.0,153.0,3,3,720.1,96.8,23.9
PCR,186,4574.0,4565.0,-9.0,2,1,744.0,100.0,0.0
PCR,187,4939.0,5257.0,318.0,3,3,715.2,96.1,28.8
PCR,188,4607.0,4438.0,-169.0,3,1,744.0,100.0,0.0
PCR,189,4357.0,4424.0,67.0,3,3,732.0,98.4,12.0
PCR,190,4294.0,4438.0,144.0,3,1,744.0,100.0,0.0
PCR,191,4036.0,3992.0,-44.0,3,2,732.0,98.4,12.0
PCR,192,4720.0,4720.0,0.0,3,3,650.4,87.4,93.6
PCR,193,3887.0,4192.0,305.0,2,2,738.0,99.2,6.0
PCR,194,4715.0,4590.0,-125.0,3,3,732.0,98.4,12.0
PCR,195,4305.0,4250.0,-55.0,2,2,726.1,97.6,17.9
PCR,196,4430.0,4519.0,89.0,3,2,732.0,98.4,12.0
PCR,197,4488.0,4514.0,26.0,3,3,732.0,98.4,12.0
PCR,198,5204.0,5100.0,-104.0,4,4,714.1,96.0,29.9
PCR,203,5336.0,5230.0,-106.0,2,2,726.1,97.6,17.9
PCR,204,4426.0,4367.0,-59.0,2,1,732.1,98.4,11.9
PCR,205,4879.0,4837.0,-42.0,3,2,726.1,97.6,17.9
PCR,206,3732.0,4183.0,451.0,2,2,726.1,97.6,17.9
PCR,207,3776.0,3883.0,107.0,3,2,720.1,96.8,23.9
PCR,208,4426.0,4827.0,401.0,3,2,726.1,97.6,17.9
PCR,209,4452.0,4565.0,113.0,3,1,744.0,100.0,0.0
PCR,210,4950.0,4895.0,-55.0,3,2,726.1,97.6,17.9
PCR,211,4187.0,4071.0,-116.0,3,2,726.1,97.6,17.9
PCR,212,4885.0,4790.0,-95.0,3,2,726.1,97.6,17.9
PCR,23,4271.0,4738.0,467.0,3,3,737.0,99.1,7.0
PCR,232,4209.0,4973.0,764.0,3,2,726.1,97.6,17.9
PCR,233,4948.0,5076.0,128.0,5,1,732.1,98.4,11.9
PCR,234,4471.0,4617.0,146.0,3,2,738.0,99.2,6.0
PCR,235,5443.0,5308.0,-135.0,4,2,720.1,96.8,23.9
PCR,236,4096.0,4213.0,117.0,4,3,732.0,98.4,12.0
PCR,24,4548.0,4590.0,42.0,4,2,737.0,99.1,7.0
PCR,25,4998.0,4861.0,-137.0,3,3,717.8,96.5,26.2
PCR,258,3953.0,3803.0,-150.0,3,3,732.0,98.4,12.0
PCR,259,5261.0,5210.0,-51.0,3,3,720.1,96.8,23.9
PCR,26,5599.0,5623.0,24.0,3,1,732.1,98.4,11.9
PCR,27,4900.0,4829.0,-71.0,3,2,725.0,97.4,19.0
PCR,28,5257.0,5159.0,-98.0,4,3,710.6,95.5,33.4
PCR,286,4291.0,4367.0,76.0,3,1,732.1,98.4,11.9
PCR,287,4368.0,4295.0,-73.0,3,3,720.1,96.8,23.9
PCR,288,3329.0,3190.0,-139.0,2,1,744.0,100.0,0.0
PCR,289,3186.0,3190.0,4.0,2,1,744.0,100.0,0.0
PCR,29,5291.0,5291.0,0.0,3,3,715.0,96.1,29.0
PCR,295,4074.0,4020.0,-54.0,3,2,726.1,97.6,17.9
PCR,296,3932.0,3826.0,-106.0,3,3,720.1,96.8,23.9
PCR,297,4248.0,4328.0,80.0,3,3,720.1,96.8,23.9
PCR,298,4751.0,4832.0,81.0,4,4,726.0,97.6,18.0
PCR,30,5251.0,5199.0,-52.0,3,3,717.8,96.5,26.2
PCR,307,4460.0,4368.0,-92.0,4,3,718.1,96.5,25.9
PCR,308,4274.0,4274.0,0.0,4,2,576.5,77.5,167.5
PCR,309,4616.0,4482.0,-134.0,4,2,718.1,96.5,25.9
PCR,31,4728.0,4650.0,-78.0,3,2,725.0,97.4,19.0
PCR,310,3996.0,3882.0,-114.0,3,3,718.1,96.5,25.9
PCR,311,4221.0,4221.0,0.0,4,2,569.3,76.5,174.7
PCR,313,3525.0,4188.0,663.0,5,2,564.9,75.9,179.1
PCR,32,4628.0,4582.0,-46.0,3,2,725.0,97.4,19.0
PCR,33,5573.0,5535.0,-38.0,4,2,717.8,96.5,26.2
PCR,34,4202.0,4359.0,157.0,3,1,730.8,98.2,13.2
PCR,35,4666.0,4896.0,230.0,3,2,725.0,97.4,19.0
PCR,36,4536.0,4581.0,45.0,3,2,725.0,97.4,19.0
PCR,37,3973.0,4350.0,377.0,3,2,725.0,97.4,19.0
PCR,38,4045.0,4359.0,314.0,3,1,730.8,98.2,13.2
PCR,39,5978.0,5790.0,-188.0,5,1,732.1,98.4,11.9
PCR,40,4867.0,4732.0,-135.0,2,2,739.5,99.4,4.5
PCR,41,4549.0,4547.0,-2.0,4,3,730.5,98.2,13.5
PCR,42,4947.0,4898.0,-49.0,4,3,730.5,98.2,13.5
PCR,43,5505.0,5463.0,-42.0,4,3,718.6,96.6,25.4
PCR,44,3864.0,4053.0,189.0,3,2,739.5,99.4,4.5
PCR,45,4396.0,4408.0,12.0,4,3,723.1,97.2,20.9
PCR,46,4697.0,4551.0,-146.0,3,3,723.1,97.2,20.9
PCR,47,4496.0,4329.0,-167.0,4,3,723.1,97.2,20.9
PCR,48,3969.0,3832.0,-137.0,3,1,732.1,98.4,11.9
PCR,49,4535.0,4559.0,24.0,4,2,730.5,98.2,13.5
PCR,50,3224.0,3139.0,-85.0,3,1,732.1,98.4,11.9
PCR,51,3320.0,3441.0,121.0,2,2,738.0,99.2,6.0
PCR,52,4365.0,4203.0,-162.0,3,1,744.0,100.0,0.0
PCR,53,3521.0,3677.0,156.0,3,2,738.0,99.2,6.0
TBR,133,1240.0,1226.0,-14.0,1,1,744.0,100.0,0.0
TBR,134,1107.0,1171.0,64.0,2,2,724.2,97.3,19.8
TBR,135,1240.0,1226.0,-14.0,1,1,744.0,100.0,0.0
TBR,136,1201.0,1226.0,25.0,2,1,744.0,100.0,0.0
TBR,137,1345.0,1321.0,-24.0,2,2,738.0,99.2,6.0
TBR,138,1178.0,1171.0,-7.0,1,1,733.8,98.6,10.2
TBR,139,1232.0,1226.0,-6.0,1,1,744.0,100.0,0.0
TBR,140,1127.0,1154.0,27.0,1,1,700.2,94.1,43.8
TBR,141,1305.0,1290.0,-15.0,2,1,744.0,100.0,0.0
TBR,142,1201.0,1226.0,25.0,2,1,744.0,100.0,0.0
TBR,143,1226.0,1254.0,28.0,1,1,723.0,97.2,21.0
TBR,144,1172.0,1199.0,27.0,1,1,727.5,97.8,16.5
TBR,145,1220.0,1222.0,2.0,2,2,738.0,99.2,6.0
TBR,146,1206.0,1213.0,7.0,2,2,738.0,99.2,6.0
TBR,147,1200.0,1216.0,16.0,2,2,738.0,99.2,6.0
TBR,148,1220.0,1222.0,2.0,2,2,738.0,99.2,6.0
TBR,149,1188.0,1183.0,-5.0,2,2,738.0,99.2,6.0
TBR,150,1405.0,1382.0,-23.0,2,2,738.0,99.2,6.0
TBR,151,1190.0,1217.0,27.0,2,1,738.4,99.2,5.6
TBR,152,1224.0,1252.0,28.0,2,2,715.3,96.1,28.7
TBR,153,1308.0,1296.0,-12.0,2,2,738.0,99.2,6.0
TBR,154,1196.0,1216.0,20.0,2,2,738.0,99.2,6.0
TBR,157,1247.0,1247.0,0.0,2,1,719.0,96.6,25.0
TBR,158,1188.0,1187.0,-1.0,1,1,744.0,100.0,0.0
TBR,159,1270.0,1315.0,45.0,3,2,686.3,92.2,57.7
TBR,161,1216.0,1245.0,29.0,2,1,717.8,96.5,26.2
TBR,162,1200.0,1199.0,-1.0,3,3,721.8,97.0,22.2
TBR,163,1207.0,1217.0,10.0,2,2,727.8,97.8,16.2
TBR,165,1117.0,1117.0,0.0,2,1,700.2,94.1,43.8
TBR,166,1129.0,1201.0,72.0,3,2,738.0,99.2,6.0
TBR,167,1118.0,1145.0,27.0,2,1,694.7,93.4,49.3
TBR,168,1211.0,1211.0,0.0,3,3,721.8,97.0,22.2
TBR,170,1239.0,1246.0,7.0,3,2,727.0,97.7,17.0
TBR,172,1125.0,1125.0,0.0,2,2,684.6,92.0,59.4
TBR,173,1186.0,1171.0,-15.0,2,1,733.8,98.6,10.2
TBR,174,1175.0,1200.0,25.0,2,2,727.8,97.8,16.2
TBR,175,1197.0,1189.0,-8.0,2,2,727.8,97.8,16.2
TBR,176,1234.0,1234.0,0.0,2,2,738.0,99.2,6.0
TBR,177,1190.0,1209.0,19.0,2,1,733.8,98.6,10.2
TBR,200,1190.0,1209.0,19.0,2,1,733.8,98.6,10.2
TBR,201,1101.0,1155.0,54.0,2,2,700.8,94.2,43.2
TBR,202,1217.0,1209.0,-8.0,2,1,733.8,98.6,10.2
TBR,219,1189.0,1171.0,-18.0,3,1,733.8,98.6,10.2
TBR,220,1217.0,1209.0,-8.0,2,1,733.8,98.6,10.2
TBR,221,1154.0,1168.0,14.0,2,2,708.7,95.3,35.3
TBR,222,1247.0,1247.0,0.0,2,1,697.5,93.8,46.5
TBR,223,1236.0,1225.0,-11.0,3,3,721.8,97.0,22.2
TBR,224,1222.0,1205.0,-17.0,3,3,732.0,98.4,12.0
TBR,225,1234.0,1206.0,-28.0,3,3,732.0,98.4,12.0
TBR,226,1208.0,1295.0,87.0,3,2,721.2,96.9,22.8
TBR,227,1222.0,1200.0,-22.0,3,2,727.8,97.8,16.2
TBR,228,1140.0,1215.0,75.0,3,3,732.0,98.4,12.0
TBR,229,1187.0,1190.0,3.0,3,2,721.8,97.0,22.2
TBR,54,1257.0,1233.0,-24.0,3,3,721.8,97.0,22.2
TBR,55,1313.0,1335.0,22.0,3,3,732.0,98.4,12.0
TBR,56,1203.0,1196.0,-7.0,3,3,712.0,95.7,32.0
TBR,57,1073.0,1113.0,40.0,3,3,682.0,91.7,62.0
TBR,58,1197.0,1195.0,-2.0,3,3,721.8,97.0,22.2
TBR,59,934.0,1263.0,329.0,3,3,732.0,98.4,12.0
TBR,60,1275.0,1253.0,-22.0,3,2,721.8,97.0,22.2
TBR,61,1118.0,1170.0,52.0,3,2,732.7,98.5,11.3
TBR,62,1193.0,1182.0,-11.0,3,2,732.0,98.4,12.0
TBR,63,1269.0,1263.0,-6.0,3,2,727.8,97.8,16.2
TBR,64,1263.0,1256.0,-7.0,3,3,721.8,97.0,22.2
TBR,65,1194.0,1181.0,-13.0,3,2,727.8,97.8,16.2
TBR,68,1214.0,1190.0,-24.0,3,2,721.8,97.0,22.2
TBR,69,1133.0,1182.0,49.0,3,2,718.8,96.6,25.2
TBR,70,1276.0,1255.0,-21.0,3,2,720.5,96.8,23.5
TBR,71,1196.0,1190.0,-6.0,3,2,721.8,97.0,22.2
