plant,plant_day,date,carry_out,built,cured,gt_inventory_day_mean,gt_inventory_close,changeovers
PCR,1,2026-08-01,false,12635,9797,3440,5253,25
PCR,2,2026-08-02,false,11979,12583,4487,5073,26
PCR,3,2026-08-03,false,13121,13741,4056,4309,39
PCR,4,2026-08-04,false,13611,12203,4395,5852,37
PCR,5,2026-08-05,false,12060,13638,4623,4285,34
PCR,6,2026-08-06,false,13281,13288,4160,4596,31
PCR,7,2026-08-07,false,13325,12942,4500,4174,34
PCR,8,2026-08-08,false,13255,13428,4495,4481,29
PCR,9,2026-08-09,false,12810,12666,4091,4473,32
PCR,10,2026-08-10,false,13715,12654,4161,5065,22
PCR,11,2026-08-11,false,13266,14506,4408,4906,35
PCR,12,2026-08-12,false,13424,13891,4479,4928,27
PCR,13,2026-08-13,false,12787,12495,4483,4142,29
PCR,14,2026-08-14,false,13585,13089,4443,4457,28
PCR,15,2026-08-15,false,12897,13497,4132,3724,27
PCR,16,2026-08-16,false,12950,12440,4448,4986,28
PCR,17,2026-08-17,false,11522,12771,4531,3274,26
PCR,18,2026-08-18,false,13406,12931,3950,4351,29
PCR,19,2026-08-19,false,12781,12142,4253,4532,26
PCR,20,2026-08-20,false,13233,13444,4518,4495,25
PCR,21,2026-08-21,false,12806,12651,4440,4177,29
PCR,22,2026-08-22,false,12385,12883,4309,3752,21
PCR,23,2026-08-23,false,12118,13067,3800,3006,33
PCR,24,2026-08-24,false,13671,12516,3762,3535,29
PCR,25,2026-08-25,false,10269,10962,3986,3352,31
PCR,26,2026-08-26,false,12254,11724,3443,3684,27
PCR,27,2026-08-27,false,12020,12259,4002,3706,30
PCR,28,2026-08-28,false,11849,11397,4228,4228,27
PCR,29,2026-08-29,false,11648,12013,4369,3880,24
PCR,30,2026-08-30,false,11075,10936,4059,3924,29
PCR,31,2026-08-31,false,10497,11174,4472,4436,24
TBR,1,2026-08-01,false,2884,2139,953,1516,14
TBR,2,2026-08-02,false,3126,3267,1274,1531,17
TBR,3,2026-08-03,false,3007,2906,1230,1447,16
TBR,4,2026-08-04,false,3245,3400,1250,1393,21
TBR,5,2026-08-05,false,3219,2952,1224,1509,20
TBR,6,2026-08-06,false,2998,3361,1340,1269,16
TBR,7,2026-08-07,false,3131,2948,1176,1465,20
TBR,8,2026-08-08,false,3305,3386,1323,1325,22
TBR,9,2026-08-09,false,3000,3026,1252,1327,21
TBR,10,2026-08-10,false,3109,3298,1336,1193,20
TBR,11,2026-08-11,false,3014,2929,1194,1231,18
TBR,12,2026-08-12,false,3161,3228,1276,1208,19
TBR,13,2026-08-13,false,2823,2930,1197,1107,16
TBR,14,2026-08-14,false,3392,3181,1206,1211,18
TBR,15,2026-08-15,false,2839,2900,1278,1311,15
TBR,16,2026-08-16,false,2782,2972,1184,1067,18
TBR,17,2026-08-17,false,3225,3116,1074,1070,23
TBR,18,2026-08-18,false,3012,2917,1200,1297,19
TBR,19,2026-08-19,false,3085,3311,1169,1074,20
TBR,20,2026-08-20,false,3043,2871,1135,1269,19
TBR,21,2026-08-21,false,3203,3310,1041,1030,17
TBR,22,2026-08-22,false,3120,2924,1105,1225,20
TBR,23,2026-08-23,false,3123,3154,1228,1272,15
TBR,24,2026-08-24,false,3186,3044,1310,1461,17
TBR,25,2026-08-25,false,2879,3077,1186,1111,16
TBR,26,2026-08-26,false,3075,3044,1208,1331,15
TBR,27,2026-08-27,false,3083,3244,1168,1060,20
TBR,28,2026-08-28,false,2926,2964,1194,1075,15
TBR,29,2026-08-29,false,2821,2876,1007,1100,19
TBR,30,2026-08-30,false,2911,2960,939,890,14
TBR,31,2026-08-31,false,2179,2381,1038,880,9
