plant,gt_code,gt_description,tyre_size,rim,modal_sku,n_skus,skus,demanded,gross_build,fed,shortfall,starved,unplaced_L5,shortfall_reason,residual
PCR,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,1,62630,62321,58439.0,4191.0,2353.0,576.0,no feasible release,false
PCR,GT 1402 XPC TATA,145 R12 ULTIMA XPC TL TATA (+14 SKUs),R12,R12,1D25214012008QXPCT,15,1,27939,27889,25681.0,2258.0,182.0,1051.0,would breach min_lot,false
PCR,GT 1925 XPC1,195 R15 ULTIMA XPC1 AL,R15,R15,1225219Z15008SXC11,1,1,12614,12495,11101.0,1513.0,155.0,427.0,no feasible release,false
PCR,GT 1844 XPC TML,185 R14 ULTIMA XPC 10 PR (+1 SKUs),R14,R14,1D25218014010RXPCT,2,1,10644,10362,9242.0,1402.0,291.0,511.0,would breach min_lot,false
PCR,GT 1634 XPC TATA,165 R14 ULTIMA XPC TATA TL (+5 SKUs),R14,R14,1D25216814008QXPC0,6,1,12320,11847,11049.0,1271.0,283.0,0.0,no feasible release,false
PCR,GT 2476 SUP MM,245/75 R16 ELANZO SUPRA,"",R16,1325224716111SELS0,1,1,27500,27345,26241.0,1259.0,310.0,0.0,no feasible release,false
PCR,GT 1772 NEO,175/70 R12 ULTIMA NEO,R12,(no rim),1325217612080HUNE0,1,1,1178,1182,0.0,1178.0,0.0,1182.0,,false
PCR,GT 2568 HT2,255/65 R 18 Ranger HT2 111 H,R18,R18,1325225518111HRHB0,1,1,11500,11361,10429.0,1071.0,284.0,0.0,would breach min_lot,false
PCR,GT 1985 UX1 XL,195/55 R15 UX1,195/55 R15 UX1,(no rim),1325219315089VUX1E,1,1,1070,1074,0.0,1070.0,0.0,537.0,,false
PCR,GT  T1457 STAR,T145/70 R17 STAR XT (+2 SKUs),R17,R17,1325214617107MSXT0,3,1,11220,10756,10154.0,1066.0,285.0,0.0,would breach min_lot,false
PCR,GT 2557 HPE KIA,215/55 R17 RANGER HPE,R17,(no rim),1325221317094VRHE3,1,1,1188,1192,170.0,1018.0,1022.0,0.0,no feasible release,false
PCR,GT 1482 UHL,145/80 R 12 ULTIMA HI LIFE TL (+13 SKUs),R12,R12,1325214812074TUHL0,14,1,17544,17231,16569.0,975.0,302.0,0.0,no feasible release,false
PCR,GT 1773 NEO,175/70 R13 ULTIMA NEO,R13,R13,1325217613082TUNE0,1,1,10560,10591,9776.0,784.0,453.0,362.0,no feasible release,false
PCR,GT 1412 XPC MM,145 R12 ULTIMA XPC (+6 SKUs),"",R12,1D25114012008QXPC0,7,1,3677,3604,2896.0,781.0,389.0,0.0,would breach min_lot,false
PCR,GT 2258 RAN HPE,225/55 R 18 Ranger Hpe (+1 SKUs),R 18,R18,1325222318098HRHE0,2,1,9484,9331,8707.0,777.0,311.0,0.0,no feasible release,false
PCR,GT 2158 ROYL HYU,215/55R18 UX ROYALE (+1 SKUs),R18,R18,1325221318095HURL0,2,1,16500,16548,15747.0,753.0,437.0,0.0,no feasible release,false
PCR,GT 1765 ROYL,175/65 R15 UX ROYALE (+5 SKUs),R15,R15,1325217515084HURL2,6,1,14653,14552,13905.0,748.0,647.0,0.0,would breach min_lot,false
