plant,machine,changeovers,same_size,size_changes,total_co_min,mean_co_min,unreserved_co_min,max_single_co_min,max_co_from_gt,max_co_to_gt,max_co_from_rim,max_co_to_rim,max_co_type,max_co_at,machine_days_run,co_per_machine_day_OURS,co_per_machine_day_PLANT,co_per_machine_day_DELTA
PCR,TBMPCR10Stage2,77,77,0,1694.0,22.0,0.0,22.0,GT 1503 NEO MSIL,GT 1673 NEO,R13,R13,same-size,2026-07-01 14:03,31,2.48,2.29,0.19
PCR,TBMPCR11Stage2,74,74,0,1628.0,22.0,0.0,22.0,GT 2476 SUP MM,GT 1916 ROYL,R16,R16,same-size,2026-07-02 03:06,31,2.39,1.26,1.13
PCR,TBMPCR1Stage2,56,56,0,1568.0,28.0,0.0,28.0,GT 2267 ROYL HYU,GT  T1457 STAR,R17,R17,same-size,2026-07-01 13:01,31,1.81,0.97,0.84
PCR,TBMPCR2Stage2,79,21,58,4068.0,51.49,0.0,60.0,GT 1482 UHL,GT 2476 SUP MM,R12,R16,size-change,2026-07-02 04:19,30,2.63,2.42,0.21
PCR,TBMPCR3Stage2,82,82,0,2296.0,28.0,0.0,28.0,GT 1925 XPC1,GT 1995 ROYL KIA,R15,R15,same-size,2026-07-01 13:08,31,2.65,2.77,-0.12
PCR,TBMPCR4Stage2,80,80,0,2240.0,28.0,0.0,28.0,GT 1402 XPC TATA,GT 1482 UHL,R12,R12,same-size,2026-07-02 03:08,31,2.58,4.97,-2.39
PCR,TBMPCR5Stage2,28,28,0,784.0,28.0,0.0,28.0,GT 1513 XPC1 MSIL,GT 1773 NEOPS,R13,R13,same-size,2026-07-01 11:34,29,0.97,2.29,-1.32
PCR,TBMPCR6Stage2,134,134,0,2948.0,22.0,0.0,22.0,GT 1684 ROYL,GT 1634 XPC TATA,R14,R14,same-size,2026-07-01 16:04,31,4.32,2.84,1.48
PCR,TBMPCR7Stage2,81,81,0,1782.0,22.0,0.0,22.0,GT 1543 XPC1,GT 1583 NEO TATA,R13,R13,same-size,2026-07-01 14:41,31,2.61,0.0,2.61
PCR,TBMPCR8Stage2,66,52,14,1732.0,26.24,0.0,42.0,GT 1765 ROYL,GT 2267 ROYL HYU,R15,R17,size-change,2026-07-11 01:59,31,2.13,2.32,-0.19
PCR,TBMPCR9Stage2,70,70,0,1540.0,22.0,0.0,22.0,GT 2258 RAN HPE,GT 2158 ROYL HYU,R18,R18,same-size,2026-07-01 15:38,31,2.26,1.81,0.45
TBR,TBMTBR1Stage2,64,64,0,640.0,10.0,0.0,10.0,10.00 R 20 JUH3+,10.00R 20 JW302,R20,R20,same-size,2026-07-01 12:41,31,2.06,1.16,0.9
TBR,TBMTBR2Stage2,77,77,0,770.0,10.0,0.0,10.0,10.00 R 20 JUH5,10.00 R 20 JDE,R20,R20,same-size,2026-07-01 21:34,31,2.48,1.61,0.87
TBR,TBMTBR3Stage2,106,106,0,1060.0,10.0,0.0,10.0,GT 5076 - 295/90R20 JDE XF,10.00 R 20 JUH3+,R20,R20,same-size,2026-07-01 19:38,31,3.42,3.81,-0.39
TBR,TBMTBR4Stage2,38,38,0,380.0,10.0,0.0,10.0,GT 5075 - 295/90R20 JUH XF,10.00R 20 JW302,R20,R20,same-size,2026-07-02 04:47,31,1.23,2.87,-1.64
TBR,TBMTBR5Stage2,119,119,0,1190.0,10.0,0.0,10.0,11R22.5JTHSD,315/80R22.5JUL4,R22.5,R22.5,same-size,2026-07-01 15:24,31,3.84,4.32,-0.48
TBR,TBMTBR6Stage2,123,123,0,1230.0,10.0,0.0,10.0,11R22.5JUC,255/70R22.5JTH1,R22.5,R22.5,same-size,2026-07-01 15:14,31,3.97,3.65,0.32
TBR,TBMTBR7Stage2,122,122,0,1220.0,10.0,0.0,10.0,8.25R20JDE++,8.25R20JUH5,R20,R20,same-size,2026-07-01 14:09,31,3.94,4.23,-0.29
TBR,TBMTBR8Stage2,118,118,0,1180.0,10.0,0.0,10.0,GT 5101 - 11.00R20 JS114,9.00 R 20 JUH3,R20,R20,same-size,2026-07-01 15:11,31,3.81,4.03,-0.22
TBR,TBMTBR9Stage2,42,42,0,420.0,10.0,0.0,10.0,GT 5103 - 295/80R22.5 JUM XM OEM,295/80R22.5JUL1,R22.5,R22.5,same-size,2026-07-02 11:54,31,1.35,3.0,-1.65
