plant,start_date,start_shift,plant_day,carry_out,finishes_next_month,press,gt_code,gt_description,tyre_size,rim,modal_sku,n_skus,mould_set,qty_planned,qty_fed,qty_unfed,start_ts,end_ts,hours,campaign_id
PCR,2026-07-01,A,1,false,false,119,GT 1503 NEO MSIL,155/80 R13 ULTIMA NEO MSIL (+6 SKUs),R13,R13,1325215813079TUNE3,7,G::PCR::GT 1503 NEO MSIL,4404.0,4404.0,0.0,2026-07-01 07:00,2026-07-24 11:52,556.87,PCR-119-07010700
PCR,2026-07-01,A,1,false,false,120,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,G::PCR::GT 1513 XPC1 MSIL,3975.0,3975.0,0.0,2026-07-01 07:00,2026-07-29 01:26,666.45,PCR-120-07010700
PCR,2026-07-01,A,1,false,false,121,GT 2267 ROYL HYU,215/60 R17 UX ROYALE HYUNDAI (+9 SKUs),R17,R17,1325221417096HURL0,10,G::PCR::GT 2267 ROYL HYU,4066.0,4066.0,0.0,2026-07-01 07:00,2026-07-25 17:29,586.49,PCR-121-07010700
PCR,2026-07-01,A,1,false,false,122,GT 1995 ROYL KIA,195/65R15 UX ROYALE (+10 SKUs),R15,R15,1325219515091HURL2,11,G::PCR::GT 1995 ROYL KIA,4483.0,4483.0,0.0,2026-07-01 07:00,2026-07-26 11:39,604.65,PCR-122-07010700
PCR,2026-07-01,A,1,false,false,123,GT 1503 NEO MSIL,155/80 R13 ULTIMA NEO MSIL (+6 SKUs),R13,R13,1325215813079TUNE3,7,G::PCR::GT 1503 NEO MSIL,3978.0,3825.0,153.0,2026-07-01 07:00,2026-07-22 06:00,503.01,PCR-123-07010700
PCR,2026-07-01,A,1,false,false,125,GT 2267 ROYL HYU,215/60 R17 UX ROYALE HYUNDAI (+9 SKUs),R17,R17,1325221417096HURL0,10,G::PCR::GT 2267 ROYL HYU,3669.0,3516.0,153.0,2026-07-01 07:00,2026-07-23 08:13,529.23,PCR-125-07010700
PCR,2026-07-01,A,1,false,false,126,GT 2568 HT2,255/65 R 18 Ranger HT2 111 H,R18,R18,1325225518111HRHB0,1,G::PCR::GT 2568 HT2,3780.0,3780.0,0.0,2026-07-01 07:00,2026-07-26 05:20,598.35,PCR-126-07010700
PCR,2026-07-01,A,1,false,false,127,GT 1634 XPC TATA,165 R14 ULTIMA XPC TATA TL (+5 SKUs),R14,R14,1D25216814008QXPC0,6,G::PCR::GT 1634 XPC TATA,3441.0,3441.0,0.0,2026-07-01 07:00,2026-07-26 16:08,609.15,PCR-127-07010700
PCR,2026-07-01,A,1,false,false,184,GT 2476 SUP MM,245/75 R16 ELANZO SUPRA,"",R16,1325224716111SELS0,1,G::PCR::GT 2476 SUP MM,3809.0,3809.0,0.0,2026-07-01 07:00,2026-07-27 03:46,620.78,PCR-184-07010700
PCR,2026-07-01,A,1,false,false,185,GT 2267 ROYL HYU,215/60 R17 UX ROYALE HYUNDAI (+9 SKUs),R17,R17,1325221417096HURL0,10,G::PCR::GT 2267 ROYL HYU,3669.0,3516.0,153.0,2026-07-01 07:00,2026-07-23 08:13,529.23,PCR-185-07010700
PCR,2026-07-01,A,1,false,false,188,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,G::PCR::GT 1513 XPC1 MSIL,3177.0,3166.0,11.0,2026-07-01 07:00,2026-07-23 11:39,532.65,PCR-188-07010700
PCR,2026-07-01,A,1,false,false,189,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,G::PCR::GT 1513 XPC1 MSIL,3177.0,3177.0,0.0,2026-07-01 07:00,2026-07-23 11:39,532.65,PCR-189-07010700
PCR,2026-07-01,A,1,false,false,190,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,G::PCR::GT 1513 XPC1 MSIL,3177.0,3177.0,0.0,2026-07-01 07:00,2026-07-23 11:39,532.65,PCR-190-07010700
PCR,2026-07-01,A,1,false,false,191,GT 1402 XPC TATA,145 R12 ULTIMA XPC TL TATA (+14 SKUs),R12,R12,1D25214012008QXPCT,15,G::PCR::GT 1402 XPC TATA,3229.0,3229.0,0.0,2026-07-01 07:00,2026-07-26 23:58,616.98,PCR-191-07010700
PCR,2026-07-01,A,1,false,false,192,GT 1995 ROYL KIA,195/65R15 UX ROYALE (+10 SKUs),R15,R15,1325219515091HURL2,11,G::PCR::GT 1995 ROYL KIA,2822.0,2665.0,157.0,2026-07-01 07:00,2026-07-17 03:37,380.62,PCR-192-07010700
PCR,2026-07-01,A,1,false,false,193,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,G::PCR::GT 1513 XPC1 MSIL,3177.0,3025.0,152.0,2026-07-01 07:00,2026-07-23 11:39,532.65,PCR-193-07010700
PCR,2026-07-01,A,1,false,false,194,GT 1482 UHL,145/80 R 12 ULTIMA HI LIFE TL (+13 SKUs),R12,R12,1325214812074TUHL0,14,G::PCR::GT 1482 UHL,3872.0,3820.0,52.0,2026-07-01 07:00,2026-07-25 07:38,576.64,PCR-194-07010700
PCR,2026-07-01,A,1,false,false,195,GT 2158 ROYL HYU,215/55R18 UX ROYALE (+1 SKUs),R18,R18,1325221318095HURL0,2,G::PCR::GT 2158 ROYL HYU,3423.0,3217.0,206.0,2026-07-01 07:00,2026-07-25 04:53,573.9,PCR-195-07010700
PCR,2026-07-01,A,1,false,false,196,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,G::PCR::GT 1513 XPC1 MSIL,3177.0,3177.0,0.0,2026-07-01 07:00,2026-07-23 11:39,532.65,PCR-196-07010700
PCR,2026-07-01,A,1,false,false,210,GT 2267 ROYL HYU,215/60 R17 UX ROYALE HYUNDAI (+9 SKUs),R17,R17,1325221417096HURL0,10,G::PCR::GT 2267 ROYL HYU,2395.0,2395.0,0.0,2026-07-01 07:00,2026-07-15 16:27,345.46,PCR-210-07010700
