plant,day,shift,changes,fitters
PCR,11,B,2,6
PCR,11,C,1,3
PCR,12,A,1,3
PCR,13,A,2,6
PCR,13,B,1,3
PCR,14,C,1,3
PCR,15,A,3,9
PCR,15,B,2,6
PCR,15,C,1,3
PCR,16,A,6,18
PCR,16,B,4,12
PCR,16,C,4,12
PCR,17,B,1,3
PCR,18,C,1,3
PCR,19,A,1,3
PCR,19,B,2,6
PCR,20,B,1,3
PCR,21,C,2,6
PCR,22,A,1,3
PCR,22,B,1,3
PCR,22,C,1,3
PCR,23,A,6,18
PCR,23,B,4,12
PCR,23,C,3,9
PCR,24,B,5,15
PCR,24,C,3,9
PCR,25,A,5,15
PCR,25,B,1,3
PCR,25,C,7,21
PCR,26,A,2,6
PCR,26,B,6,18
PCR,26,C,2,6
PCR,27,B,3,9
PCR,27,C,3,9
PCR,28,A,1,3
PCR,28,C,1,3
PCR,29,A,3,9
PCR,29,B,3,9
PCR,29,C,3,9
PCR,30,A,4,12
PCR,30,B,5,15
PCR,30,C,3,9
PCR,31,A,3,9
PCR,31,B,2,6
TBR,13,B,4,12
TBR,14,A,1,3
TBR,14,C,1,3
TBR,15,A,1,3
TBR,15,B,1,3
TBR,15,C,1,3
TBR,16,A,1,3
TBR,16,C,4,12
TBR,17,A,2,6
TBR,17,B,2,6
TBR,17,C,3,9
TBR,18,A,2,6
TBR,18,B,1,3
TBR,18,C,1,3
TBR,19,A,2,6
TBR,19,C,2,6
TBR,20,A,1,3
TBR,21,A,1,3
TBR,21,B,3,9
TBR,21,C,2,6
TBR,22,A,2,6
TBR,23,A,2,6
TBR,23,B,2,6
TBR,23,C,2,6
TBR,24,A,2,6
TBR,24,B,1,3
TBR,24,C,2,6
TBR,25,A,2,6
TBR,25,C,2,6
TBR,26,A,2,6
TBR,26,B,1,3
TBR,26,C,2,6
TBR,27,A,2,6
TBR,27,B,5,15
TBR,27,C,3,9
TBR,28,A,3,9
TBR,28,B,3,9
TBR,28,C,1,3
TBR,29,A,3,9
TBR,29,B,1,3
TBR,29,C,2,6
TBR,30,A,1,3
TBR,30,B,3,9
TBR,30,C,1,3
TBR,31,B,3,9
