plant,machine,tyres,runs,distinct_gts,changeovers,size_changes,busy_h,occupancy_pct,idle_h,setup_required_h,setup_unreserved_h,runs_short_of_setup,occupancy_pct_with_setup
PCR,TBMPCR10Stage2,45384.0,78,8,77,0,620.6,83.4,123.4,28.2,0.0,0,83.4
PCR,TBMPCR11Stage2,27984.0,75,6,74,0,580.2,78.0,163.8,27.1,0.0,0,78.0
PCR,TBMPCR1Stage2,32439.0,57,5,56,0,585.0,78.6,159.0,26.1,0.0,0,78.6
PCR,TBMPCR2Stage2,30904.0,80,18,79,58,585.2,78.7,158.8,67.8,0.0,0,78.7
PCR,TBMPCR3Stage2,29880.0,83,8,82,0,579.1,77.8,164.9,38.3,0.0,0,77.8
PCR,TBMPCR4Stage2,37575.0,81,3,80,0,564.0,75.8,180.0,37.3,0.0,0,75.8
PCR,TBMPCR5Stage2,38227.0,29,6,28,0,559.9,75.3,184.1,13.1,0.0,0,75.3
PCR,TBMPCR6Stage2,34774.0,135,6,134,0,541.6,72.8,202.4,49.1,0.0,0,72.8
PCR,TBMPCR7Stage2,39356.0,82,7,81,0,536.7,72.1,207.3,29.7,0.0,0,72.1
PCR,TBMPCR8Stage2,32889.0,67,7,66,14,576.5,77.5,167.5,28.9,0.0,0,77.5
PCR,TBMPCR9Stage2,31483.0,71,5,70,0,632.4,85.0,111.6,25.7,0.0,0,85.0
TBR,TBMTBR1Stage2,10801.0,65,7,64,0,604.1,81.2,139.9,10.7,0.0,0,81.2
TBR,TBMTBR2Stage2,11081.0,78,8,77,0,614.6,82.6,129.4,12.8,0.0,0,82.6
TBR,TBMTBR3Stage2,10914.0,107,10,106,0,611.5,82.2,132.5,17.7,0.0,0,82.2
TBR,TBMTBR4Stage2,9342.0,39,4,38,0,525.1,70.6,218.9,6.3,0.0,0,70.6
TBR,TBMTBR5Stage2,11063.0,120,17,119,0,620.0,83.3,124.0,19.8,0.0,0,83.3
TBR,TBMTBR6Stage2,10984.0,124,19,123,0,615.0,82.7,129.0,20.5,0.0,0,82.7
TBR,TBMTBR7Stage2,11424.0,123,10,122,0,605.0,81.3,139.0,20.3,0.0,0,81.3
TBR,TBMTBR8Stage2,11309.0,119,10,118,0,627.7,84.4,116.3,19.7,0.0,0,84.4
TBR,TBMTBR9Stage2,5927.0,43,5,42,0,332.3,44.7,411.7,7.0,0.0,0,44.7
