plant,press,tyres,tyres_planned,tyres_unfed,campaigns,distinct_gts,busy_h,utilisation_pct,idle_h
PCR,119,5789.0,5723.0,-66.0,3,2,738.0,99.2,6.0
PCR,120,4542.0,4438.0,-104.0,2,1,744.0,100.0,0.0
PCR,121,4932.0,4922.0,-10.0,2,2,738.0,99.2,6.0
PCR,122,5508.0,5334.0,-174.0,3,3,732.0,98.4,12.0
PCR,123,5122.0,5275.0,153.0,2,2,732.6,98.5,11.4
PCR,124,5068.0,4958.0,-110.0,2,2,726.1,97.6,17.9
PCR,125,4519.0,4564.0,45.0,2,2,738.0,99.2,6.0
PCR,126,4601.0,4477.0,-124.0,2,2,738.0,99.2,6.0
PCR,127,4237.0,4203.0,-34.0,3,1,744.0,100.0,0.0
PCR,184,4384.0,4423.0,39.0,2,1,720.8,96.9,23.2
PCR,185,4858.0,4950.0,92.0,3,2,738.0,99.2,6.0
PCR,186,5060.0,5072.0,12.0,3,3,720.1,96.8,23.9
PCR,187,5172.0,5172.0,0.0,4,3,715.4,96.2,28.6
PCR,188,4484.0,4495.0,11.0,3,2,728.9,98.0,15.1
PCR,189,4368.0,4425.0,57.0,3,2,732.0,98.4,12.0
PCR,190,4265.0,4417.0,152.0,3,1,740.6,99.5,3.4
PCR,191,4045.0,3900.0,-145.0,3,2,732.0,98.4,12.0
PCR,192,4075.0,4232.0,157.0,3,2,570.8,76.7,173.2
PCR,193,4278.0,4337.0,59.0,3,2,738.0,99.2,6.0
PCR,194,4776.0,4783.0,7.0,2,2,738.0,99.2,6.0
PCR,195,4250.0,4456.0,206.0,3,3,722.9,97.2,21.1
PCR,196,4265.0,4417.0,152.0,3,1,740.6,99.5,3.4
PCR,197,4377.0,4534.0,157.0,3,2,717.7,96.5,26.3
PCR,198,4593.0,4969.0,376.0,4,2,726.1,97.6,17.9
PCR,203,5681.0,5577.0,-104.0,3,2,726.1,97.6,17.9
PCR,204,4397.0,4529.0,132.0,2,2,726.1,97.6,17.9
PCR,205,4962.0,4832.0,-130.0,3,3,720.1,96.8,23.9
PCR,206,3970.0,4331.0,361.0,3,2,726.1,97.6,17.9
PCR,207,4333.0,4118.0,-215.0,3,2,720.1,96.8,23.9
PCR,208,4190.0,4149.0,-41.0,3,3,720.1,96.8,23.9
PCR,209,4277.0,4434.0,157.0,3,2,704.0,94.6,40.0
PCR,210,4865.0,5025.0,160.0,4,1,724.8,97.4,19.2
PCR,211,3464.0,3794.0,330.0,2,2,704.3,94.7,39.7
PCR,212,4823.0,4873.0,50.0,4,3,714.1,96.0,29.9
PCR,23,4216.0,4326.0,110.0,3,2,740.5,99.5,3.5
PCR,232,4754.0,4754.0,0.0,3,2,695.9,93.5,48.1
PCR,233,4549.0,4709.0,160.0,4,1,679.2,91.3,64.8
PCR,234,4788.0,4653.0,-135.0,4,2,738.0,99.2,6.0
PCR,235,4907.0,4690.0,-217.0,4,3,714.1,96.0,29.9
PCR,236,4428.0,4618.0,190.0,4,2,738.0,99.2,6.0
PCR,24,4632.0,4501.0,-131.0,4,2,725.1,97.5,18.9
PCR,25,5637.0,5455.0,-182.0,4,3,717.8,96.5,26.2
PCR,258,3777.0,3712.0,-65.0,2,1,744.0,100.0,0.0
PCR,259,4962.0,5116.0,154.0,3,3,718.1,96.5,25.9
PCR,26,5576.0,5525.0,-51.0,4,3,722.5,97.1,21.5
PCR,27,5099.0,5099.0,0.0,3,3,717.7,96.5,26.3
PCR,28,4455.0,4455.0,0.0,3,3,708.6,95.2,35.4
PCR,286,4620.0,4560.0,-60.0,3,3,732.0,98.4,12.0
PCR,287,3933.0,4095.0,162.0,3,2,719.6,96.7,24.4
PCR,288,3310.0,3360.0,50.0,2,2,721.7,97.0,22.3
PCR,289,3295.0,3442.0,147.0,3,3,720.1,96.8,23.9
PCR,29,5000.0,4918.0,-82.0,4,3,722.5,97.1,21.5
PCR,295,4540.0,4457.0,-83.0,4,2,726.1,97.6,17.9
PCR,296,3782.0,3817.0,35.0,3,3,732.0,98.4,12.0
PCR,297,4369.0,4367.0,-2.0,4,1,732.1,98.4,11.9
PCR,298,4477.0,4625.0,148.0,4,1,732.1,98.4,11.9
PCR,30,4935.0,4818.0,-117.0,4,3,729.7,98.1,14.3
PCR,307,4393.0,4393.0,0.0,3,1,716.0,96.2,28.0
PCR,308,3892.0,4053.0,161.0,3,2,546.7,73.5,197.3
PCR,309,4362.0,4362.0,0.0,3,2,690.4,92.8,53.6
PCR,31,4353.0,4513.0,160.0,3,2,728.7,97.9,15.3
PCR,310,4285.0,4273.0,-12.0,3,3,718.1,96.5,25.9
PCR,311,4053.0,4053.0,0.0,3,2,546.7,73.5,197.3
PCR,313,2857.0,2857.0,0.0,4,1,385.3,51.8,358.7
PCR,32,4275.0,4435.0,160.0,3,1,743.6,99.9,0.4
PCR,33,4284.0,4284.0,0.0,3,2,714.5,96.0,29.5
PCR,34,4197.0,4222.0,25.0,3,2,725.0,97.4,19.0
PCR,35,4543.0,4523.0,-20.0,3,3,717.8,96.5,26.2
PCR,36,4767.0,4767.0,0.0,3,2,719.6,96.7,24.4
PCR,37,4408.0,4568.0,160.0,4,2,721.4,97.0,22.6
PCR,38,4349.0,4488.0,139.0,4,3,717.8,96.5,26.2
PCR,39,5793.0,5766.0,-27.0,4,2,717.8,96.5,26.2
PCR,40,4588.0,4551.0,-37.0,3,3,723.1,97.2,20.9
PCR,41,4622.0,4622.0,0.0,3,3,711.8,95.7,32.2
PCR,42,4357.0,4226.0,-131.0,4,3,723.1,97.2,20.9
PCR,43,5431.0,5431.0,0.0,4,2,709.0,95.3,35.0
PCR,44,4225.0,4131.0,-94.0,4,4,718.6,96.6,25.4
PCR,45,3990.0,3832.0,-158.0,4,1,732.1,98.4,11.9
PCR,46,4056.0,4066.0,10.0,4,4,718.6,96.6,25.4
PCR,47,4500.0,4500.0,0.0,4,3,704.8,94.7,39.2
PCR,48,4526.0,4526.0,0.0,4,3,714.5,96.0,29.5
PCR,49,4623.0,4515.0,-108.0,4,2,727.6,97.8,16.4
PCR,50,3340.0,3139.0,-201.0,3,1,732.1,98.4,11.9
PCR,51,3815.0,3804.0,-11.0,3,3,720.1,96.8,23.9
PCR,52,3933.0,3854.0,-79.0,3,3,732.0,98.4,12.0
PCR,53,3549.0,3619.0,70.0,3,2,732.0,98.4,12.0
TBR,133,1250.0,1226.0,-24.0,1,1,744.0,100.0,0.0
TBR,134,1189.0,1196.0,7.0,2,2,738.0,99.2,6.0
TBR,135,1286.0,1286.0,0.0,1,1,715.6,96.2,28.4
TBR,136,1237.0,1226.0,-11.0,1,1,744.0,100.0,0.0
TBR,137,1237.0,1226.0,-11.0,1,1,744.0,100.0,0.0
TBR,138,1197.0,1187.0,-10.0,1,1,744.0,100.0,0.0
