plant,gt_code,gt_description,tyre_size,rim,modal_sku,n_skus,skus,demanded,gross_build,fed,shortfall,starved,unplaced_L5,shortfall_reason,residual
PCR,GT 1513 XPC1 MSIL,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL) (+1 SKUs),R13,R13,1D25215013008SXC10,2,1,55663.0,55224,53805.0,1858.0,1419.0,0.0,would breach min_lot,false
PCR,GT 2568 HT2,255/65 R 18 Ranger HT2 111 H,R18,R18,1325225518111HRHB0,1,1,16090.0,15536,15063.0,1027.0,473.0,0.0,would breach min_lot,false
PCR,GT 2267 ROYL HYU,215/60 R17 UX ROYALE HYUNDAI (+9 SKUs),R17,R17,1325221417096HURL0,10,1,31947.0,31730,31104.0,843.0,626.0,0.0,no feasible release,false
PCR,GT 1844 XPC TML,185 R14 ULTIMA XPC 10 PR (+1 SKUs),R14,R14,1D25218014010RXPCT,2,1,11181.0,10667,10446.0,735.0,221.0,0.0,would breach min_lot,false
PCR,GT 2158 ROYL HYU,215/55R18 UX ROYALE (+1 SKUs),R18,R18,1325221318095HURL0,2,1,18251.0,18199,17524.0,727.0,675.0,0.0,would breach min_lot,false
PCR,GT 1925 XPC1,195 R15 ULTIMA XPC1 AL,R15,R15,1225219Z15008SXC11,1,1,12234.0,12169,11601.0,633.0,200.0,0.0,would breach min_lot,false
PCR,GT 1995 ROYL KIA,195/65R15 UX ROYALE (+10 SKUs),R15,R15,1325219515091HURL2,11,1,14249.0,14016,13698.0,551.0,318.0,0.0,no feasible release,false
PCR,GT 1854 XPC TT,185 R 14 Ultima XPC 10 PR TT (+1 SKUs),R14,R14,1D25118014010RXPC0,2,1,1004.0,826,489.0,515.0,0.0,0.0,,false
PCR,GT 2258 RAN HPE,225/55 R 18 Ranger Hpe (+1 SKUs),R 18,R18,1325222318098HRHE0,2,1,12897.0,12935,12476.0,421.0,459.0,0.0,no feasible release,false
PCR,GT1915 LT XPC1,195 R15 ULTIMA XPC1,"",R15,1225219Z15008SXC10,1,1,5012.0,4813,4658.0,354.0,155.0,0.0,no feasible release,false
PCR,GT 1865 ROYL RENO,185/65 R15 UX ROYALE (+2 SKUs),R15,R15,1325218515088TURL1,3,1,3020.0,3029,2699.0,321.0,157.0,0.0,no feasible release,false
PCR,GT 1773 NEOPS,175/70 R13 TORNEL ULTIMA NEO+,R13,R13,1325217613082TUNEE,1,1,3860.0,3872,3540.0,320.0,0.0,0.0,,false
PCR,GT 1765 ROYL,175/65 R15 UX ROYALE (+5 SKUs),R15,R15,1325217515084HURL2,6,1,21359.0,21355,21051.0,308.0,304.0,0.0,no feasible release,false
PCR,GT 2276 RAN HT,275/70 R16 RANGER HT,R16,R16,1325227616114TRHT0,1,1,296.0,297,0.0,296.0,0.0,0.0,,true
PCR,GT 1412 XPC MM,145 R12 ULTIMA XPC (+6 SKUs),"",R12,1D25114012008QXPC0,7,1,5238.0,5181,4946.0,292.0,235.0,0.0,would breach min_lot,false
PCR,GT 1634 XPC TATA,165 R14 ULTIMA XPC TATA TL (+5 SKUs),R14,R14,1D25216814008QXPC0,6,1,13619.0,13576,13340.0,279.0,236.0,0.0,would breach min_lot,false
PCR,GT 1503 NEO MSIL,155/80 R13 ULTIMA NEO MSIL (+6 SKUs),R13,R13,1325215813079TUNE3,7,1,32367.0,32259,32106.0,261.0,153.0,0.0,no feasible release,false
