plant,sku,description,plant_gt_label
TBR,1121110020016KJ191,295/90R20_JETSTEEL_115_152/148_J_TT,GT 5002
TBR,1121110020016KVDE0,10.00R20_VDE_16PR_K_TT,GT 5002
TBR,1151110020016KJIN0,10.00R20_JDE_INA_DOT_16PR_K_TT,GT 5002
TBR,1121110020016KJDC0,10.00R20_JDC_16PR_K_TT,GT 5005
TBR,1121110020016KJDH0,10.00R20_JDH_16PR_K_TT-OBSLETE,GT 5005
TBR,1121129A20152JDH30,295/90R20_JDH3_152/148_J_TT,GT 5005
TBR,1122110020016K2071,10.00R20_207_16PR_K_TT,GT 5007
TBR,1122129A20152JUHP0,295/90R20_JUH3+_152/148_J_TT,GT 5012
TBR,1122110020016KJH30,10.00R20_JUH3_16PR_K_TT-OBSLETE,GT 5015
TBR,1152190020014KVH30,9.00R20_VUH3_DOT_14PR_K_TT,GT 5017
TBR,112221102C016JJUX0,11R22.5_JUX_16PR_J_TL,GT 5027
TBR,115221102C016MJUH0,11R22.5_ JUH_DOT_148/145M_16PR_TL,GT 5028
TBR,115221102C014LVTS0,11R22.5_VTHSD_DOT_14PR_L_TL,GT 5030
TBR,115221102C016LVTS0,11R22.5_VTHSD_DOT_16PR_L_TL,GT 5030
TBR,115222972C014LVTS0,295/75R22.5_VTHSD_DOT_14PR_L_TL,GT 5042
TBR,115222972C016LJTS0,295/75R22.5_JTHSD_DOT_16PR_L_TL,GT 5042
TBR,115222972C016LVTS0,295/75R22.5_VTHSD_DOT_16PR_L_TL,GT 5042
TBR,115222972C014MVL30,295/75R22.5_VUL3_DOT_14PR_M_TL,GT 5047
TBR,115222972C016LVL30,295/75R22.5_VUL3_DOT_16PR_L_TL,GT 5047
TBR,112122982C016MJLS0,295/80R22.5_JDL SMART_16PR_152/148_M_TL,GT 5049
TBR,112222982C016MJMSE,295/80R22.5_JUM SMART_16PR_154/149M_TL_R,GT 5051
TBR,112222982C016MJUMR,295/80R22.5_JUM_16PR_154/149M_TL_RT,GT 5051
TBR,112222982C016MJM10,295/80R22.5_JUM_16PR_154/149M_TL,GT 5054
TBR,115223852C018LUH60,385/65R 22.5 16C CMRAD VK JETWAY JUH6 TL,GT 5061
TBR,115223162C018LUL4V,315/70R22.5_VUL4_18PR_156/150_L_TL,GT 5065
TBR,1151110020016KCXD0,10.00R20_JDC XD_146/143_K_TT,GT 5071
TBR,115222982C016MJXM0,295/80R22.5_JUL XM_DOT_16PR_M_TL,GT 5083
TBR,112121102C016L1221,11R22.5_JS 122_148_16PR_L_TL,GT 5090
TBR,1121190020016K1211,9.00R20_JS 121_142/140_K_TT,GT 5098
TBR,1122190020016K3041,9.00R20_JW 304_142/140_K_TT,GT 5099
TBR,1121111020016KDYD0,11.00R20_JDY XD_16PR_150/147_K_TT,GT 5101
TBR,115222982C154MJXM0,295/80R22.5_JUMXM_DOT_154/149M_16PR_TL,GT 5103
TBR,1121129A20000JDEPN,295/90R20_JS_JDE++_RS_152/148_J_TT,GT 5503
TBR,115323182C020LUC40,315/80R22.5_JUC4_DOT_156/150L_20PR_TL,GT 5060
TBR,115323182C020LUC4V,315/80R22.5_VUC4_DOT_156/150L_20PR_TL,GT 5060
TBR,115223852C024KUH60,385/65R22.5_JUH6_DOT_24PR_K_TL,GT 5061
TBR,115223852C024KVH60,385/65R22.5_VUH6_DOT_24PR_K_TL,GT 5061
TBR,115123182C020LDL30,315/80R22.5_JDL3_156/150L_20PR_L_TL,GT 5062
TBR,115123182C020LDL3V,315/80R22.5_VDL3_156/150L_20PR_L_TL,GT 5062
TBR,115223182C020LUL40,315/80R22.5_JUL4_156/150L_20PR_L_TL,GT 5064
TBR,115223852C024KJTL0,385/65R22.5_JTL_DOT_24PR_K_TL,GT 5066
TBR,115223852C024KVTLV,385/65R22.5_VTL_DOT_24PR_K_TL,GT 5066
TBR,115323852C024KUCD0,385/65R22.5_JUC-XD_24PR_164K_TL,GT 5072
TBR,115122982C018KDC30,295/80R22.5_JDC3_152/148K_18PR_TL,GT 5081
TBR,115122982C018KDC3V,295/80R22.5_VDC3_152/148K_18PR_TL,GT 5081
TBR,115123162C154LCXD0,315/70R22.5_JDC XD_18PR_DOT_154/150_L_TL,GT 5120
TBR,115223852C020KUL40,385/65R22.5_JUL4_DOT_20PR_164K_TL,GT 5123
TBR,115223852C024KUL40,385/65R22.5_JUL4_DOT_24PR_164K_TL,GT 5123
TBR,1122129A20000JUH5M,295/90R20_JUH5_152/148_J_TT_OE,GT 5502
TBR,1123190020016KUC2C,9.00R20_CUC2_DOT_142/140_K_16PR_TT ,GT 5018
